,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average 2 ratio during night,Audio daily average 2 ratio,Bluetooth class,Daily average stationary ratio during night,Phonelock duration during night,Daily average 2 ratio during day,Daily average unknown activity ratio during night,Total counts of bluetooth mac address,Average accuracy,Phonecharge duration during evening,Medium strength of wifi level,Light duration during evening,Daily average walking ratio,Audio daily average 0 ratio,Daily average 0 ratio during day,FlourishingScale
u00,20277.727,0.1283,82,629.6627247763307,570.3818960400579,0.24086735807043946,0.2287123087266681,135.593,0.9154300963192838,0.0956,0.21822330872273493,0.027300626576076032,7.396,341.25,0.006999999999999999,18.05,0.0236,0.040073979746382236,0.5117101683475364,0.5430861388473158,1.0
u01,7841.048000000002,0.1227,71,616.2079933551571,563.5990351602952,0.2421723073662836,0.23157462154976546,218.133,0.915292874521746,0.1958,0.22286321147497687,0.026773478125838062,15.47,46.5,0.0045,14.452,0.0108,0.04016378193902058,0.4935177641458229,0.5160559079402038,1.0
u02,15048.091,0.0384,84,588.2452525845002,535.6948877889239,0.22604245622862235,0.215960334817485,447.23800000000006,0.9164295246366679,0.0493,0.20774074148550456,0.02640107772005979,19.773,74.16,0.0084,17.128,0.0088,0.039585836640634434,0.5140323284228828,0.5368546997111154,0.0
u03,6821.45,0.046,49,590.2821420283129,533.0276920998324,0.2287840399990861,0.2188261364300604,116.917,0.9161988549643856,0.0876,0.21055421175731734,0.026593381248071955,17.759,23.98,0.0079,20.489,0.0072,0.03945604395479135,0.5128288197213368,0.5383660628131212,0.0
u04,20384.95,0.1228,89,532.3734240544327,508.3132989599135,0.2373340007146265,0.2280258687243641,160.304,0.9180000735155716,0.1454,0.21999171960338168,0.027199900163482376,7.33,33.44,0.0021,18.744,0.0704,0.038475792828853835,0.5246271209237716,0.5517361929129967,0.0
u05,10706.8,0.0824,71,545.5475113122171,511.73216487271935,0.22318200587139544,0.22462814725508248,1320.356,0.9204859390076164,0.146,0.2246118156667498,0.026682861732717555,65.36399999999999,37.56,0.0083,17.984,0.0349,0.03788103813227582,0.5354932499255532,0.5482035429338894,1.0
u07,30193.5,0.0799,93,552.60828892836,494.8685000217679,0.2350537200567303,0.23963343323810185,199.152,0.9202975623782388,0.1339,0.24157019485431624,0.02677593884569755,20.916,41.48,0.0157,18.903,0.0285,0.03801575911410588,0.5241578222612915,0.5377095723276225,1.0
u08,13321.522,0.0498,69,612.8206765478013,571.0001144241403,0.20358715221457105,0.19817526145835013,420.93,0.9197554021723381,0.0891,0.19396263537255548,0.026932890082297583,18.432,63.27,0.0339,23.719,0.0424,0.04009071750639431,0.5213096059497279,0.5289409608140951,0.0
u09,23139.3,0.1086,87,613.4043506320943,574.4058944661838,0.2098306387937582,0.20222782934652508,329.571,0.9169877686187704,0.171,0.1962717382993019,0.02737064763365071,17.089000000000002,34.4,0.0025,15.825,0.0256,0.04147867593064211,0.5145805249884413,0.5262298853383592,1.0
u10,10748.571000000002,0.1102,66,510.74513274336283,408.6358542932026,0.21622717320784146,0.21531001916480247,459.429,0.9179898885866881,0.1696,0.21371696867153608,0.026938813876856524,14.93,33.84,0.0287,27.651,0.0304,0.03816962013698028,0.5448072602226532,0.5641943947693163,0.0
u12,25302.2,0.1609,78,556.3448502796973,505.00191536987916,0.2384135321492912,0.2433218718597996,152.295,0.91989582758811,0.1252,0.24514628083296625,0.026816347028188067,11.358,181.58,0.0202,18.057,0.0358,0.038458131860939535,0.5190132966937624,0.5341040681863697,1.0
u13,41297.455,0.0653,79,527.8815637065637,483.2374919160785,0.22582288276471466,0.2287520282344976,3587.042,0.9201629409523512,0.0868,0.2296505161082077,0.02691337610858767,319.44,95.9,0.0167,24.374,0.0078,0.0380651074137764,0.5350229594974601,0.5455567657615639,0.0
u14,14767.619,0.1145,83,648.2303226070245,586.1489291544318,0.24385369971078955,0.23357472928002376,944.209,0.9182027598218264,0.1095,0.2245253817340341,0.02654112838022234,49.756,39.84,0.002,17.754,0.0106,0.03926892029139043,0.4989652817672818,0.5265907976902617,1.0
u15,9134.1,0.0292,77,598.5955818022748,536.8222360457708,0.2432086669424353,0.23189157293065826,150.361,0.9149922644552622,0.0684,0.22224299387163649,0.02704474392794678,9.666,35.85,0.0038,16.641,0.0126,0.040095077324380016,0.4986064507097821,0.5277264197664974,1.0
u16,8722.955,0.1127,86,589.2235386017446,541.2990721806945,0.2222606174953029,0.2113643405125752,376.812,0.9164892364384848,0.1576,0.2026017363736647,0.026635788674178883,23.972,32.26,0.013,16.483,0.0223,0.039086794697582514,0.5193484790392979,0.5406665620115033,0.0
u17,15728.25,0.1015,74,592.2906671440505,538.1332442871652,0.2348624962171103,0.2251005540044664,246.439,0.9161487999943893,0.1826,0.2169910851108044,0.0269736511376127,15.425999999999998,36.79,0.018000000000000002,32.01,0.0406,0.03907215922227613,0.5007104866027378,0.5252865101297769,0.0
u18,12406.048,0.0756,69,602.2296169890028,558.0988193895797,0.21703108230447232,0.20956584285962834,752.5,0.9179687335241379,0.1124,0.2036149507517723,0.02644464339767997,49.525,48.61,0.0054,20.07,0.0055,0.041321646204090096,0.5142848499425465,0.5270868833104204,0.0
u19,18625.0,0.0608,64,599.7019293225427,556.5789723958078,0.21277329954311325,0.2058416112118199,478.366,0.9189703220229406,0.1085,0.20028018171303888,0.02601977498976455,26.291,31.29,0.0179,20.29,0.0196,0.040940478536034136,0.5186285629840867,0.5315183938041099,0.0
u20,11013.55,0.0671,63,610.5626667728702,568.72147370737,0.2051162551603907,0.19829164823807452,231.829,0.9203538087132608,0.0766,0.1929875294645856,0.02618564180706808,20.134,26.51,0.0091,25.238000000000003,0.006,0.03987191390833216,0.5226205095229804,0.5325765449273587,0.0
u22,20380.1,0.1049,75,613.6974325549762,571.6967736793893,0.2024810673178296,0.1970234141261632,159.933,0.920273706903172,0.1226,0.1928155488881157,0.026671047255875702,9.28,32.44,0.0014,27.161,0.0175,0.03968544878744743,0.5267389783981345,0.5333250023215993,1.0
u23,6278.2,0.2083,60,619.6928189717703,575.9723048790737,0.20240410460608213,0.19627230678785013,327.37,0.9206464100476726,0.07200000000000001,0.1915784053881809,0.026477444419378843,34.663000000000004,26.41,0.0975,23.578000000000007,0.0659,0.038805814549256835,0.5291811666261129,0.536999058163709,0.0
u24,6052.75,0.0637,66,604.5837425078731,560.4006640375935,0.2145997743258989,0.2083617147412124,244.276,0.9163200583602574,0.0562,0.20324313490280813,0.026964397631278333,21.864,45.33,0.0248,15.635,0.0103,0.04229474472785715,0.5182456993802333,0.5308010993910961,0.0
u27,4968.25,0.0563,56,622.6083366043662,578.8732406434376,0.21632600614099184,0.208315237849106,353.545,0.9172574887857124,0.0697,0.20181772724649708,0.02628917159358771,14.639,28.32,0.0008,24.155,0.0096,0.03974266511237251,0.5222941506510491,0.5388220053417861,0.0
u30,44151.05,0.1146,74,615.365446549723,570.5879329917346,0.21953093974890486,0.21274953789103834,1234.772,0.9151996884827536,0.1561,0.20724432070476176,0.027639496547253287,48.24,45.7,0.005,20.145,0.0176,0.04235213277969064,0.5104170203330971,0.5227938595737764,1.0
u31,14463.174,0.0506,56,593.5345483418272,553.4049989135897,0.21132650501136704,0.20390773970096607,330.6,0.9181682499147142,0.0602,0.19799963013876776,0.02716088147948711,34.54,79.11,0.0367,17.14,0.0727,0.04094991378500969,0.5196872344838838,0.5325301956536121,0.0
u32,28294.55,0.121,79,622.2139915087764,580.0764511536104,0.21610545728505204,0.2089713074887333,1038.976,0.9170701536014564,0.1625,0.20320219086721653,0.026346439831351275,51.75899999999999,36.4,0.0007,15.061,0.0073,0.04146034579434134,0.5193749913074526,0.5337895154110975,1.0
u33,9193.429,0.063,77,628.2555368131698,587.4280186816245,0.2213162997355299,0.21136371124507067,164.412,0.9186630071407212,0.0497,0.2034153275297422,0.025454107235685586,14.482,34.84,0.0286,19.648,0.0332,0.03980913035440534,0.5180798798639789,0.5365577423787814,0.0
u34,13402.75,0.0349,72,612.8087916526422,570.9619157773324,0.206185564879493,0.1994461827356429,169.0,0.9193201272549244,0.0382,0.19417053764636075,0.027548164352986258,15.268,34.45,0.0,11.632,0.0019,0.03972883496812474,0.5199723537750834,0.5302013244862545,0.0
u35,12160.7,0.0781,63,609.1990775725043,567.625782263515,0.207305244783564,0.1997641650404551,362.424,0.9186351663086584,0.0963,0.19388382754371672,0.026873401393302715,35.701,35.59,0.0,11.248,0.0072,0.040423948981433866,0.5196392417327311,0.5306765293725693,1.0
u36,45790.05,0.1156,86,614.1535837160089,571.9373158613273,0.2027535828408835,0.19683186424221952,2378.222,0.9194300362381108,0.1396,0.19229077559636998,0.02710460349137707,242.767,209.74,0.013,19.194000000000006,0.0122,0.039580907537865855,0.5249364365135334,0.5322002636873561,1.0
u39,3650.4,0.0082,40,510.2164948453608,495.9926696794239,0.2191472055888154,0.22041029404528686,147.583,0.92117512814888,0.0097,0.22027967625475928,0.026453861583855643,37.681,53.62,0.0,5.121,0.0058,0.03755308944032703,0.5428148518341518,0.5548307582239419,0.0
u42,31540.6,0.0556,69,602.4385276122526,559.8379747196353,0.19175156366025373,0.1878129332831424,165.97299999999996,0.9203896506316582,0.0582,0.18484520953783165,0.026175934523971347,16.332,34.2,0.0,17.371,0.0222,0.03829106934950945,0.5422933998401093,0.5454677520279819,0.0
u43,9712.095,0.0501,69,602.4623699775648,560.9000712097364,0.1949883502322408,0.1912586828899571,160.04399999999995,0.9173585110894432,0.1107,0.1884385402702919,0.027011097292398683,11.692,40.75,0.0,19.863,0.0132,0.039062260590382,0.5395858252771445,0.5407523076596006,0.0
u44,11217.524,0.0857,54,597.2562723172338,548.9556405690789,0.1982360731238518,0.1918169628284357,346.281,0.961981390990254,0.1465,0.18691471221030267,0.010731545412276841,34.413000000000004,44.19,0.0127,9.759,0.0104,0.014930014560176591,0.5356454115550922,0.5444385820454138,0.0
u45,24780.05,0.0767,72,614.1594350459483,566.9046763193184,0.19801138565117146,0.19143587108840865,183.424,0.9277466359087408,0.07,0.18644369829888136,0.027308459940961767,18.682,40.17,0.0,13.8,0.0113,0.028483487015849688,0.5353911417482903,0.5440353809679453,1.0
u46,17613.476000000002,0.0316,85,621.8039410015741,576.5265599890872,0.19274559186220386,0.1890871718294176,718.1139999999998,0.9325745295524436,0.0347,0.1863314313714717,0.02340412494611455,31.315,57.18,0.0184,25.351,0.037000000000000005,0.035665757944009745,0.5408716336893493,0.5439525009378852,0.0
u47,7145.632,0.0447,68,616.1325266984776,571.3469945599599,0.19734836333454767,0.1906962398648995,331.821,0.9372282717458452,0.047,0.1856551994677024,0.022831356615628517,31.928,151.79,0.0,17.362000000000002,0.0046,0.027464651602588847,0.5392954427651212,0.5474662138249939,1.0
u49,22965.107000000004,0.0923,83,617.7851111603047,560.0435509754664,0.25722000750868546,0.2679575849693574,3839.792,0.9098996394448484,0.1161,0.27428428566692153,0.029122130050765107,156.593,55.65,0.0448,22.491,0.0323,0.042622829089873984,0.5119395311196673,0.5105963886074878,1.0
u50,18210.25,0.078,51,602.0296353875676,552.6412493214992,0.2007023112952737,0.19435240729507927,902.4,0.9571916765881264,0.0694,0.18949763762785912,0.01886787819569476,118.218,36.85,0.0,28.38,0.0077,0.014692019291874641,0.532083868363613,0.5400696045348929,1.0
u51,18445.087,0.1535,79,606.3989562624254,558.5636167709183,0.19744092734209626,0.19066663449628,758.449,0.9284596709186692,0.2268,0.18554095358793413,0.022586527124604846,89.76799999999999,178.83,0.0012,22.94,0.0103,0.029776587586254705,0.5378633880293838,0.5464560887672065,0.0
u52,151418.545,0.1443,51,614.0166054507855,558.4586922488371,0.19302366248858369,0.18690018258855426,491.721,0.919223517024418,0.1095,0.18234378567809947,0.026162833104304364,26.596,69.56,0.0045,16.025,0.0137,0.03999428654600736,0.5443778251561283,0.5505441899119313,0.0
