,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average 2 ratio during night,Audio daily average 2 ratio,Bluetooth class,Daily average stationary ratio during night,Phonelock duration during night,Daily average 2 ratio during day,Daily average unknown activity ratio during night,Total counts of bluetooth mac address,Average accuracy,Phonecharge duration during evening,Medium strength of wifi level,Light duration during evening,Daily average walking ratio,Audio daily average 0 ratio,Daily average 0 ratio during day,Average duration of each long-time conversation(>10 mins),Average speed,Average duration of each conversation during night,Phonelock duration during evening,Phonecharge duration during afternoon,Light duration during morning,Average bearing,Wifi times of gps_network_type,High strength of wifi level,Phonecharge duration during night,Light duration during night,Gps times of gps provider,High strength of bluetooth level,Daily average walking ratio during day,Daily average running ratio during night,Low strength of bluetooth level,Phonecharge duration during morning,Daily average running ratio during day,Low strength of wifi level,Network times of gps provider,Medium strength of bluetooth level,Phonelock duration during afternoon,Total counts of wifi-bssid address,Daily average stationary ratio,Daily average 0 ratio during night,Daily average conversation duration,Daily average unknown activity ratio during day,Daily average running ratio,Daily average walking ratio during night,Cell  times of gps_network_type,Audio 1 times count,Daily frequency of conversation during day,Daily frequency of long-time conversation(>10 mins),Daily frequency of conversation during night,Daily average 0 count during night,Daily average 1 ratio during day,Daily average 1 ratio during night,Daily average conversation duration during night,Daily frequency of conversation,Audio daily average 2 times,Audio 2 times count,Daily average conversation duration during day,Daily average 2 times during day,Daily average long-time conversation duration(>10 mins),Daily average 1 times during night,Daily average 1 times during day,Daily average 0 count during day,Audio daily average 1 ratio,Audio daily average 0 count,Audio daily average 1 times,FlourishingScale
u00,20277.727,0.1283,82,629.6627247763307,570.3818960400579,0.24086735807043946,0.2287123087266681,135.593,0.9154300963192838,0.0956,0.21822330872273493,0.027300626576076032,7.396,341.25,0.006999999999999999,18.05,0.0236,0.040073979746382236,0.5117101683475364,0.5430861388473158,1660.8295348111144,0.29,709.1906740924429,0.0334,0.0964,0.099,6.49,3595.0,69.152,0.0175,0.0777,256.0,66.812,0.03747508343517916,0.013436112865371354,8.809,0.0713,0.00922607631956992,12.798,4060.0,24.379,0.1119,14.351,0.9231608274018758,0.476243785817322,212186.94029850746,0.02473605845453751,0.010959906791458177,0.043833164239268765,465.0,6722427.0,180.86567164179104,95.61194029850746,156.11940298507463,79401.16417910447,0.2386905524299493,0.2828888561122385,110042.11940298507,336.9850746268657,86462.80597014926,5793008.0,102144.82089552238,46559.07462686567,158795.1343283582,48300.28358208955,52034.44776119403,116338.79104477615,0.2595775229257955,195739.9552238806,100334.73134328358,1.0
u01,7841.048000000002,0.1227,71,616.2079933551571,563.5990351602952,0.2421723073662836,0.23157462154976546,218.133,0.915292874521746,0.1958,0.22286321147497687,0.026773478125838062,15.47,46.5,0.0045,14.452,0.0108,0.04016378193902058,0.4935177641458229,0.5160559079402038,1633.090322580645,0.05,688.4800732685393,0.0246,0.1462,0.139,4.12,5110.0,67.475,0.0099,0.1409,431.0,63.768,0.03745953329477577,0.013865361933638416,15.449000000000002,0.0115,0.009361102614811273,18.073,5110.0,20.782,0.1898,36.454,0.9231753980260712,0.4682604206292981,188237.74626865672,0.024488250913792312,0.011218246047610382,0.04406828541877728,0.0,8930117.0,164.32835820895522,85.59701492537313,141.1492537313433,95638.41791044775,0.2610808805848191,0.28956727200441823,96402.73134328358,305.4776119402985,109691.07462686568,7349302.0,91835.01492537317,60393.253731343284,139787.6567164179,60743.62686567164,72541.70149253731,139742.74626865672,0.27490761430441146,235381.1641791045,133285.32835820894,1.0
u02,15048.091,0.0384,84,588.2452525845002,535.6948877889239,0.22604245622862235,0.215960334817485,447.23800000000006,0.9164295246366679,0.0493,0.20774074148550456,0.02640107772005979,19.773,74.16,0.0084,17.128,0.0088,0.039585836640634434,0.5140323284228828,0.5368546997111154,1623.2769102063587,0.03,675.213276368908,0.0165,0.1881,0.0807,2.39,6273.0,63.597,0.0233,0.0397,263.0,70.938,0.036225903318635684,0.01278022874092801,11.494000000000002,0.049,0.008518186551057804,19.274,6344.0,17.567999999999998,0.1745,49.63399999999999,0.925193280252721,0.4879241567494448,119747.41791044775,0.023883306580589136,0.010277733377334605,0.04438916890234424,71.0,10363020.0,108.82089552238806,53.52238805970149,94.74626865671642,118265.46268656715,0.25540455880338003,0.2860333870219328,63211.850746268654,203.56716417910442,121196.17910447762,8120144.0,56535.56716417911,66552.70149253731,86881.65671641791,71131.68656716419,83540.25373134327,171749.94029850746,0.27000733675963223,290015.4029850746,154671.94029850746,0.0
u03,6821.45,0.046,49,590.2821420283129,533.0276920998324,0.2287840399990861,0.2188261364300604,116.917,0.9161988549643856,0.0876,0.21055421175731734,0.026593381248071955,17.759,23.98,0.0079,20.489,0.0072,0.03945604395479135,0.5128288197213368,0.5383660628131212,1630.023102310231,0.03,672.4700673549742,0.0259,0.0853,0.0166,2.42,3351.0,53.479,0.0413,0.0645,151.0,78.689,0.03651579524164,0.013521763012917477,6.023,0.0289,0.009118810787887802,26.032,3351.0,15.289,0.1022,60.207,0.9245279823262976,0.4841547247385918,151852.28358208956,0.02398882213902517,0.01093523888279474,0.043686000774625186,0.0,9647532.0,136.71641791044777,67.83582089552239,120.53731343283579,110298.19402985074,0.25107972542956164,0.2870612352623221,80559.73134328358,257.25373134328356,114600.05970149256,7678204.0,71292.55223880598,62638.07462686567,110573.9552238806,67369.4328358209,76623.58208955223,160508.76119402985,0.26834504384860297,270806.9552238806,143993.01492537314,0.0
u04,20384.95,0.1228,89,532.3734240544327,508.3132989599135,0.2373340007146265,0.2280258687243641,160.304,0.9180000735155716,0.1454,0.21999171960338168,0.027199900163482376,7.33,33.44,0.0021,18.744,0.0704,0.038475792828853835,0.5246271209237716,0.5517361929129967,1439.0120192307693,0.03,648.429493904868,0.1047,0.2227,0.1177,2.36,3544.0,68.953,0.0039,0.1472,76.0,67.738,0.036305526831068136,0.013170227653206577,11.73,0.0164,0.009244275164996986,12.302,3544.0,20.532,0.2306,39.365,0.9245922640874557,0.4938616031644879,39705.522388059704,0.025288830985364413,0.010843392426524724,0.04162979866773951,0.0,5784326.0,37.18181818181818,18.626865671641788,37.95522388059703,73474.50746268657,0.22827208748362185,0.26880439612088564,22820.223880597016,74.58208955223881,77587.02985074627,5198331.0,17141.136363636364,42441.02985074627,26804.28358208956,41063.65671641791,45269.56716417911,107089.62686567164,0.2473470103518641,180564.1343283582,86333.22388059701,0.0
u05,10706.8,0.0824,71,545.5475113122171,511.73216487271935,0.22318200587139544,0.22462814725508248,1320.356,0.9204859390076164,0.146,0.2246118156667498,0.026682861732717555,65.36399999999999,37.56,0.0083,17.984,0.0349,0.03788103813227582,0.5354932499255532,0.5482035429338894,1523.3808172531217,0.02,652.8509091224888,0.0367,0.1285,0.0706,1.66,5294.0,68.707,0.0241,0.1102,94.0,53.01600000000001,0.03606064693730175,0.012283397608681851,18.298,0.0285,0.008828393074424724,13.309,5294.0,28.686,0.1502,37.747,0.9257766190966614,0.5237493787168265,57583.76119402985,0.025702276966828624,0.010230856120198566,0.04054780165098409,0.0,4336304.0,54.34848484848485,26.298507462686572,52.014925373134325,58261.537313432826,0.2271846413993609,0.253068615411778,32309.940298507467,105.55223880597015,59073.432835820895,3957920.0,25656.757575757583,33894.31343283582,40062.64179104478,29442.417910447763,35278.53731343283,82745.53731343284,0.2398786028193643,141007.07462686568,64720.9552238806,1.0
u07,30193.5,0.0799,93,552.60828892836,494.8685000217679,0.2350537200567303,0.23963343323810185,199.152,0.9202975623782388,0.1339,0.24157019485431624,0.02677593884569755,20.916,41.48,0.0157,18.903,0.0285,0.03801575911410588,0.5241578222612915,0.5377095723276225,1550.3304843304845,0.06,675.8346505720258,0.0264,0.0988,0.0726,3.17,2993.0,65.06,0.0137,0.0966,112.0,82.698,0.036427260204362884,0.012563532615209773,3.395,0.0262,0.00901107772344706,16.038,2993.0,13.907,0.1688,69.763,0.9254339732700432,0.5120174035096375,69653.38805970151,0.02560241915348804,0.010452164882764018,0.04036296616085383,0.0,3305600.0,68.22727272727273,31.432835820895523,58.835820895522396,44352.746268656716,0.22072023281806127,0.2529288764336322,38249.23880597015,126.04477611940298,49293.582089552234,3302670.0,31879.969696969696,28369.82089552239,48731.28358208955,22962.4776119403,26374.835820895518,62395.23880597015,0.2362087445006065,106747.98507462683,49337.31343283582,1.0
u08,13321.522,0.0498,69,612.8206765478013,571.0001144241403,0.20358715221457105,0.19817526145835013,420.93,0.9197554021723381,0.0891,0.19396263537255548,0.026932890082297583,18.432,63.27,0.0339,23.719,0.0424,0.04009071750639431,0.5213096059497279,0.5289409608140951,1679.2461087527795,0.01,660.7750184798443,0.0666,0.1382,0.0493,0.84,6055.0,66.278,0.0164,0.0596,66.0,56.20399999999999,0.03926368904769506,0.012003127921107944,20.11,0.0372,0.008820514074934086,10.003,6078.0,23.685,0.2017,56.374,0.923249580871289,0.5132915800119219,668944.0746268657,0.026216080393870373,0.010117411603966722,0.0413085798242565,71.0,19693548.0,623.3880597014926,295.34328358208955,468.1940298507463,216966.49253731343,0.27709640381334943,0.2831212677735072,311005.9552238806,1091.5820895522388,202279.4328358209,13552722.0,357938.1194029851,116018.86567164179,495954.0597014925,123987.73134328358,169945.8208955224,313638.4776119403,0.2805151325919222,530604.9701492537,293933.55223880603,0.0
u09,23139.3,0.1086,87,613.4043506320943,574.4058944661838,0.2098306387937582,0.20222782934652508,329.571,0.9169877686187704,0.171,0.1962717382993019,0.02737064763365071,17.089000000000002,34.4,0.0025,15.825,0.0256,0.04147867593064211,0.5145805249884413,0.5262298853383592,1670.9790398289724,0.07,656.5615959142364,0.0534,0.1534,0.0907,6.65,4755.0,73.354,0.0199,0.1473,307.0,65.402,0.04030794150929075,0.012409536475218872,14.918,0.0461,0.008930414157637479,10.82,4754.0,19.679,0.2271,59.46100000000001,0.9210432113790434,0.5012495143587498,723478.3880597015,0.026919573912039592,0.010357475134397848,0.04323204727236029,0.0,17757011.0,670.9402985074628,321.1492537313432,508.5074626865672,191212.59701492536,0.2774983763623388,0.288919846847492,335745.58208955225,1179.44776119403,184468.9552238806,12359420.0,387732.80597014923,104281.5671641791,536633.671641791,114136.97014925373,150893.0447761194,276805.4328358209,0.28319164566503346,468018.02985074633,265030.01492537314,1.0
u10,10748.571000000002,0.1102,66,510.74513274336283,408.6358542932026,0.21622717320784146,0.21531001916480247,459.429,0.9179898885866881,0.1696,0.21371696867153608,0.026938813876856524,14.93,33.84,0.0287,27.651,0.0304,0.03816962013698028,0.5448072602226532,0.5641943947693163,1644.2229437229435,0.01,697.7801577801746,0.0482,0.0007,0.0983,0.97,4430.0,62.62,0.0743,0.1036,27.0,69.938,0.035607116526313584,0.013199749375966794,5.8210000000000015,0.0369,0.009079058618021869,9.73,4430.0,24.241,0.1891,53.653,0.925470422920968,0.5243150400922063,17228.119402985074,0.024631480968821392,0.010761149416529095,0.04187154816048879,0.0,5038591.0,16.833333333333332,6.8955223880597005,17.40909090909091,68660.64179104478,0.22208863655914765,0.2594577866999524,11176.69696969697,33.73134328358209,65622.71641791044,4396722.0,6312.454545454545,37104.432835820895,11337.776119402983,35430.11940298508,39772.73134328358,98330.55223880598,0.2398827206125441,166991.19402985074,75202.85074626865,0.0
