,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,Average duration of each conversation during night,Low strength of wifi level,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Daily average 0 ratio during night,Average duration of each conversation,Phonecharge duration during afternoon,Light duration during night,Light duration during afternoon,Frequency of wifi,High strength of bluetooth level,Phonecharge duration during evening,Daily average 1 ratio during day,Phonelock duration during morning,Average duration of each long-time conversation(>10 mins),Daily average 0 ratio during day,Bluetooth class,Daily average 2 ratio during night,Audio daily average 0 ratio,The frequency of changing building,High strength of wifi level,Average duration of each conversation during day,Total counts of bluetooth mac address,Average accuracy,Daily average conversation duration,Daily average running ratio,Daily average 2 ratio during day,Light duration during morning,Daily frequency of conversation during day,Daily average running ratio during day,Daily frequency of long-time conversation(>10 mins),Daily average 1 ratio during night,Daily average unknown activity ratio,Audio daily average 2 ratio,Daily average long-time conversation duration(>10 mins),Wifi times of gps_network_type,Low strength of bluetooth level,Daily frequency of conversation during night,Network times of gps provider,Daily average conversation duration during night,Audio daily average 1 ratio,Daily average walking ratio,Daily average conversation duration during day,Daily average stationary ratio during day,Daily average running ratio during night,Daily average walking ratio during day,Daily average stationary ratio,Daily frequency of conversation,Daily average unknown activity ratio during night,Daily average unknown activity ratio during day,Negative
u00,24.379,0.0713,256.0,0.29,6.49,0.0175,0.1119,0.0956,0.0334,709.1906740924429,12.798,14.351,18.05,0.0236,0.476243785817322,629.6627247763307,0.0964,0.0777,0.1048,20277.727,66.812,0.006999999999999999,0.2386905524299493,0.1283,1660.8295348111144,0.5430861388473158,135.593,0.24086735807043946,0.5117101683475364,82,69.152,570.3818960400579,7.396,341.25,212186.94029850746,0.010959906791458177,0.21822330872273493,0.099,180.86567164179104,0.00922607631956992,95.61194029850746,0.2828888561122385,0.02580528606028393,0.2287123087266681,158795.1343283582,3595.0,8.809,156.11940298507463,4060.0,110042.11940298507,0.2595775229257955,0.040073979746382236,102144.82089552238,0.9285627817907134,0.013436112865371354,0.03747508343517916,0.9231608274018758,336.9850746268657,0.027300626576076032,0.02473605845453751,1.0
u01,20.782,0.0115,431.0,0.05,4.12,0.0099,0.1898,0.1958,0.0246,688.4800732685393,18.073,36.454,14.452,0.0108,0.4682604206292981,616.2079933551571,0.1462,0.1409,0.139,7841.048000000002,63.768,0.0045,0.2610808805848191,0.1227,1633.090322580645,0.5160559079402038,218.133,0.2421723073662836,0.4935177641458229,71,67.475,563.5990351602952,15.47,46.5,188237.74626865672,0.011218246047610382,0.22286321147497687,0.139,164.32835820895522,0.009361102614811273,85.59701492537313,0.28956727200441823,0.025442573987297445,0.23157462154976546,139787.6567164179,5110.0,15.449000000000002,141.1492537313433,5110.0,96402.73134328358,0.27490761430441146,0.04016378193902058,91835.01492537317,0.9286911131766206,0.013865361933638416,0.03745953329477577,0.9231753980260712,305.4776119402985,0.026773478125838062,0.024488250913792312,0.0
u02,17.567999999999998,0.049,263.0,0.03,2.39,0.0233,0.1745,0.0493,0.0165,675.213276368908,19.274,49.63399999999999,17.128,0.0088,0.4879241567494448,588.2452525845002,0.1881,0.0397,0.2388,15048.091,70.938,0.0084,0.25540455880338003,0.0384,1623.2769102063587,0.5368546997111154,447.23800000000006,0.22604245622862235,0.5140323284228828,84,63.597,535.6948877889239,19.773,74.16,119747.41791044775,0.010277733377334605,0.20774074148550456,0.0807,108.82089552238806,0.008518186551057804,53.52238805970149,0.2860333870219328,0.02494314972931013,0.215960334817485,86881.65671641791,6273.0,11.494000000000002,94.74626865671642,6344.0,63211.850746268654,0.27000733675963223,0.039585836640634434,56535.56716417911,0.9313726035497172,0.01278022874092801,0.036225903318635684,0.925193280252721,203.56716417910442,0.02640107772005979,0.023883306580589136,0.0
u03,15.289,0.0289,151.0,0.03,2.42,0.0413,0.1022,0.0876,0.0259,672.4700673549742,26.032,60.207,20.489,0.0072,0.4841547247385918,590.2821420283129,0.0853,0.0645,0.0643,6821.45,78.689,0.0079,0.25107972542956164,0.046,1630.023102310231,0.5383660628131212,116.917,0.2287840399990861,0.5128288197213368,49,53.479,533.0276920998324,17.759,23.98,151852.28358208956,0.01093523888279474,0.21055421175731734,0.0166,136.71641791044777,0.009118810787887802,67.83582089552239,0.2870612352623221,0.025080734836116395,0.2188261364300604,110573.9552238806,3351.0,6.023,120.53731343283579,3351.0,80559.73134328358,0.26834504384860297,0.03945604395479135,71292.55223880598,0.9303765718314468,0.013521763012917477,0.03651579524164,0.9245279823262976,257.25373134328356,0.026593381248071955,0.02398882213902517,1.0
u04,20.532,0.0164,76.0,0.03,2.36,0.0039,0.2306,0.1454,0.1047,648.429493904868,12.302,39.365,18.744,0.0704,0.4938616031644879,532.3734240544327,0.2227,0.1472,0.2127,20384.95,67.738,0.0021,0.22827208748362185,0.1228,1439.0120192307693,0.5517361929129967,160.304,0.2373340007146265,0.5246271209237716,89,68.953,508.3132989599135,7.33,33.44,39705.522388059704,0.010843392426524724,0.21999171960338168,0.1177,37.18181818181818,0.009244275164996986,18.626865671641788,0.26880439612088564,0.026088550657165768,0.2280258687243641,26804.28358208956,3544.0,11.73,37.95522388059703,3544.0,22820.223880597016,0.2473470103518641,0.038475792828853835,17141.136363636364,0.9291613670185704,0.013170227653206577,0.036305526831068136,0.9245922640874557,74.58208955223881,0.027199900163482376,0.025288830985364413,0.0
u05,28.686,0.0285,94.0,0.02,1.66,0.0241,0.1502,0.146,0.0367,652.8509091224888,13.309,37.747,17.984,0.0349,0.5237493787168265,545.5475113122171,0.1285,0.1102,0.1674,10706.8,53.01600000000001,0.0083,0.2271846413993609,0.0824,1523.3808172531217,0.5482035429338894,1320.356,0.22318200587139544,0.5354932499255532,71,68.707,511.73216487271935,65.36399999999999,37.56,57583.76119402985,0.010230856120198566,0.2246118156667498,0.0706,54.34848484848485,0.008828393074424724,26.298507462686572,0.253068615411778,0.02611148665086389,0.22462814725508248,40062.64179104478,5294.0,18.298,52.014925373134325,5294.0,32309.940298507467,0.2398786028193643,0.03788103813227582,25656.757575757583,0.9294086830214447,0.012283397608681851,0.03606064693730175,0.9257766190966614,105.55223880597015,0.026682861732717555,0.025702276966828624,1.0
u07,13.907,0.0262,112.0,0.06,3.17,0.0137,0.1688,0.1339,0.0264,675.8346505720258,16.038,69.763,18.903,0.0285,0.5120174035096375,552.60828892836,0.0988,0.0966,0.1607,30193.5,82.698,0.0157,0.22072023281806127,0.0799,1550.3304843304845,0.5377095723276225,199.152,0.2350537200567303,0.5241578222612915,93,65.06,494.8685000217679,20.916,41.48,69653.38805970151,0.010452164882764018,0.24157019485431624,0.0726,68.22727272727273,0.00901107772344706,31.432835820895523,0.2529288764336322,0.02609810273308661,0.23963343323810185,48731.28358208955,2993.0,3.395,58.835820895522396,2993.0,38249.23880597015,0.2362087445006065,0.03801575911410588,31879.969696969696,0.928959242918702,0.012563532615209773,0.036427260204362884,0.9254339732700432,126.04477611940298,0.02677593884569755,0.02560241915348804,0.0
u08,23.685,0.0372,66.0,0.01,0.84,0.0164,0.2017,0.0891,0.0666,660.7750184798443,10.003,56.374,23.719,0.0424,0.5132915800119219,612.8206765478013,0.1382,0.0596,0.2288,13321.522,56.20399999999999,0.0339,0.27709640381334943,0.0498,1679.2461087527795,0.5289409608140951,420.93,0.20358715221457105,0.5213096059497279,69,66.278,571.0001144241403,18.432,63.27,668944.0746268657,0.010117411603966722,0.19396263537255548,0.0493,623.3880597014926,0.008820514074934086,295.34328358208955,0.2831212677735072,0.026542290018349884,0.19817526145835013,495954.0597014925,6055.0,20.11,468.1940298507463,6078.0,311005.9552238806,0.2805151325919222,0.04009071750639431,357938.1194029851,0.9256997164835004,0.012003127921107944,0.03926368904769506,0.923249580871289,1091.5820895522388,0.026932890082297583,0.026216080393870373,1.0
u09,19.679,0.0461,307.0,0.07,6.65,0.0199,0.2271,0.171,0.0534,656.5615959142364,10.82,59.46100000000001,15.825,0.0256,0.5012495143587498,613.4043506320943,0.1534,0.1473,0.1026,23139.3,65.402,0.0025,0.2774983763623388,0.1086,1670.9790398289724,0.5262298853383592,329.571,0.2098306387937582,0.5145805249884413,87,73.354,574.4058944661838,17.089000000000002,34.4,723478.3880597015,0.010357475134397848,0.1962717382993019,0.0907,670.9402985074628,0.008930414157637479,321.1492537313432,0.288919846847492,0.027120637555916705,0.20222782934652508,536633.671641791,4755.0,14.918,508.5074626865672,4754.0,335745.58208955225,0.28319164566503346,0.04147867593064211,387732.80597014923,0.9238420704210324,0.012409536475218872,0.04030794150929075,0.9210432113790434,1179.44776119403,0.02737064763365071,0.026919573912039592,0.0
u10,24.241,0.0369,27.0,0.01,0.97,0.0743,0.1891,0.1696,0.0482,697.7801577801746,9.73,53.653,27.651,0.0304,0.5243150400922063,510.74513274336283,0.0007,0.1036,0.1836,10748.571000000002,69.938,0.0287,0.22208863655914765,0.1102,1644.2229437229435,0.5641943947693163,459.429,0.21622717320784146,0.5448072602226532,66,62.62,408.6358542932026,14.93,33.84,17228.119402985074,0.010761149416529095,0.21371696867153608,0.0983,16.833333333333332,0.009079058618021869,6.8955223880597005,0.2594577866999524,0.025598807525522824,0.21531001916480247,11337.776119402983,4430.0,5.8210000000000015,17.40909090909091,4430.0,11176.69696969697,0.2398827206125441,0.03816962013698028,6312.454545454545,0.9306823438868432,0.013199749375966794,0.035607116526313584,0.925470422920968,33.73134328358209,0.026938813876856524,0.024631480968821392,1.0
