,Low strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,High strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Phonecharge duration during morning,Phonelock duration during evening,Bluetooth class,Phonecharge duration during afternoon,Phonelock duration during night,Medium strength of bluetooth level,The frequency of changing building,High strength of bluetooth level,Medium strength of wifi level,Average duration of each conversation during night,Phonelock duration during morning,Daily average 1 ratio during night,Audio daily average 0 ratio,Total counts of bluetooth mac address,Daily average 2 ratio during night,Average bearing,Total counts of wifi-bssid address,Low strength of bluetooth level,Audio daily average 1 ratio,Daily average 0 ratio during day,Daily average unknown activity ratio during night,Daily average 0 ratio during night,Positive
u00,12.798,0.1048,20277.727,0.0236,0.1119,69.152,3595.0,4060.0,0.0713,0.0334,135.593,0.0964,0.0956,24.379,82,66.812,18.05,709.1906740924429,0.1283,0.2828888561122385,0.5117101683475364,7.396,0.24086735807043946,6.49,14.350999999999999,8.809,0.2595775229257955,0.5430861388473158,0.027300626576076032,0.47624378581732196,1.0
u01,18.073,0.139,7841.048000000001,0.0108,0.1898,67.475,5110.0,5110.0,0.0115,0.0246,218.13299999999998,0.1462,0.1958,20.781999999999996,71,63.768,14.452,688.4800732685393,0.1227,0.28956727200441823,0.4935177641458229,15.47,0.2421723073662836,4.12,36.454,15.449000000000002,0.27490761430441146,0.5160559079402038,0.026773478125838062,0.4682604206292981,0.0
u02,19.274,0.2388,15048.091,0.0088,0.1745,63.597,6273.0,6344.0,0.049,0.0165,447.23800000000006,0.1881,0.0493,17.567999999999998,84,70.938,17.128,675.213276368908,0.0384,0.2860333870219328,0.5140323284228828,19.773,0.22604245622862235,2.39,49.63399999999999,11.494000000000002,0.27000733675963223,0.5368546997111154,0.02640107772005979,0.4879241567494448,0.0
u03,26.031999999999996,0.0643,6821.45,0.0072,0.1022,53.479,3351.0,3351.0,0.0289,0.0259,116.917,0.0853,0.0876,15.289000000000001,49,78.689,20.489,672.4700673549742,0.046,0.2870612352623221,0.5128288197213368,17.759,0.2287840399990861,2.42,60.207,6.023,0.26834504384860297,0.5383660628131212,0.026593381248071955,0.4841547247385918,0.0
u04,12.302,0.2127,20384.95,0.0704,0.2306,68.953,3544.0,3544.0,0.0164,0.1047,160.304,0.2227,0.1454,20.531999999999996,89,67.738,18.744,648.429493904868,0.1228,0.26880439612088564,0.5246271209237716,7.33,0.2373340007146265,2.36,39.365,11.73,0.2473470103518641,0.5517361929129967,0.027199900163482376,0.4938616031644879,1.0
u05,13.309000000000001,0.1674,10706.8,0.0349,0.1502,68.707,5294.0,5294.0,0.0285,0.0367,1320.356,0.1285,0.146,28.686,71,53.016000000000005,17.984,652.8509091224888,0.0824,0.253068615411778,0.5354932499255532,65.36399999999999,0.22318200587139544,1.66,37.747,18.298,0.2398786028193643,0.5482035429338894,0.026682861732717555,0.5237493787168265,1.0
u07,16.038,0.1607,30193.5,0.0285,0.1688,65.06,2993.0,2993.0,0.0262,0.0264,199.15200000000002,0.0988,0.1339,13.907,93,82.698,18.903,675.8346505720258,0.0799,0.2529288764336322,0.5241578222612915,20.916,0.2350537200567303,3.17,69.763,3.395,0.2362087445006065,0.5377095723276225,0.02677593884569755,0.5120174035096375,0.0
u08,10.003,0.2288,13321.521999999999,0.0424,0.2017,66.278,6055.0,6078.0,0.0372,0.0666,420.93,0.1382,0.0891,23.685,69,56.20399999999999,23.719,660.7750184798443,0.0498,0.2831212677735072,0.5213096059497279,18.432000000000002,0.20358715221457102,0.84,56.373999999999995,20.11,0.2805151325919222,0.5289409608140951,0.026932890082297583,0.5132915800119219,1.0
u09,10.82,0.1026,23139.3,0.0256,0.2271,73.354,4755.0,4754.0,0.0461,0.0534,329.57099999999997,0.1534,0.171,19.679000000000002,87,65.402,15.825,656.5615959142364,0.1086,0.288919846847492,0.5145805249884413,17.089000000000002,0.2098306387937582,6.65,59.461000000000006,14.918,0.28319164566503346,0.5262298853383592,0.02737064763365071,0.5012495143587498,1.0
u10,9.73,0.1836,10748.571000000002,0.0304,0.1891,62.62,4430.0,4430.0,0.0369,0.0482,459.42900000000003,0.0007,0.1696,24.241,66,69.938,27.651,697.7801577801746,0.1102,0.2594577866999524,0.5448072602226532,14.93,0.21622717320784146,0.97,53.653,5.821000000000001,0.2398827206125441,0.5641943947693163,0.026938813876856524,0.5243150400922063,1.0
u12,20.52,0.17300000000000001,25302.2,0.0358,0.2025,61.423,5812.0,6151.0,0.0993,0.0603,152.295,0.184,0.1252,18.52,78,73.541,18.057000000000002,651.3008306539683,0.1609,0.25632428305443306,0.5190132966937624,11.357999999999999,0.2384135321492912,4.17,62.053000000000004,7.939,0.237664831446438,0.5341040681863697,0.026816347028188067,0.5052621847962759,1.0
u13,23.651,0.2095,41297.455,0.0078,0.1703,51.975,5857.0,6006.0,0.0466,0.0225,3587.042,0.0278,0.0868,18.266,79,68.707,24.374000000000002,628.1610941755055,0.0653,0.24784287900461435,0.5350229594974601,319.44,0.22582288276471466,4.86,182.25599999999997,13.027000000000001,0.2362250122680423,0.5455567657615639,0.02691337610858767,0.5263342382306709,0.0
u14,21.348000000000003,0.1857,14767.618999999999,0.0106,0.1746,60.897,3694.0,3694.0,0.028999999999999998,0.0248,944.209,0.1192,0.1095,19.822,83,45.652,17.754,724.1918478800916,0.1145,0.2874232506741476,0.4989652817672818,49.756,0.24385369971078955,1.15,44.474,34.525999999999996,0.2674599889526945,0.5265907976902617,0.02654112838022234,0.4687230496150628,1.0
u15,18.573,0.0451,9134.1,0.0126,0.0444,64.786,1700.0,1698.0,0.0287,0.0117,150.361,0.0059,0.0684,29.614,77,59.67100000000001,16.641,681.496641336327,0.0292,0.2902564543226303,0.4986064507097821,9.666,0.2432086669424353,6.05,29.116999999999997,10.715,0.2695019763595597,0.5277264197664974,0.02704474392794678,0.4665348787349344,1.0
u16,6.776,0.0846,8722.955,0.0223,0.1388,76.741,5795.0,5795.0,0.0431,0.0364,376.81199999999995,0.0703,0.1576,27.101999999999997,86,50.299,16.483,671.3652746336884,0.1127,0.28297722292096583,0.5193484790392979,23.971999999999998,0.2222606174953029,1.63,39.188,22.599,0.26928718044812683,0.5406665620115033,0.026635788674178883,0.494762159583731,0.0
u17,23.331999999999997,0.1583,15728.25,0.0406,0.1695,44.659,6346.0,6346.0,0.0455,0.0656,246.43900000000002,0.0821,0.1826,21.694000000000003,74,69.418,32.01,672.7778913209997,0.1015,0.29195004869847496,0.5007104866027378,15.425999999999998,0.2348624962171103,0.91,74.807,8.888,0.2741889593927958,0.5252865101297769,0.0269736511376127,0.4731874550844149,0.0
u18,11.511,0.0937,12406.048,0.0055,0.1174,68.419,3412.0,3412.0,0.0433,0.0453,752.5,0.0603,0.1124,23.987,69,69.14,20.07,655.7300616729261,0.0756,0.2828464023368231,0.5142848499425465,49.525,0.21703108230447232,4.0,47.672,6.872999999999999,0.2761493071978252,0.5270868833104204,0.02644464339767997,0.5001225153587046,0.0
u19,14.632,0.2656,18625.0,0.0196,0.2831,65.078,4451.0,4446.0,0.0649,0.0466,478.366,0.012,0.1085,24.901999999999997,64,58.456,20.29,652.4699348970134,0.0608,0.2829043772950781,0.5186285629840867,26.291,0.21277329954311325,4.03,67.311,16.642,0.2755298258040935,0.5315183938041099,0.02601977498976455,0.5043223231618087,1.0
u20,16.362000000000002,0.0682,11013.55,0.006,0.0805,58.4,2560.0,2560.0,0.034,0.0137,231.829,0.0258,0.0766,10.919,63,86.24600000000001,25.238000000000003,657.9642451539928,0.0671,0.2834635773825905,0.5226205095229804,20.134,0.2051162551603907,2.4,60.832,2.835,0.2790878422389449,0.5325765449273587,0.02618564180706808,0.5114201674570186,0.0
u22,22.529,0.1546,20380.1,0.0175,0.1992,50.309,3527.0,3516.0,0.0379,0.006999999999999999,159.933,0.0481,0.1226,21.738000000000003,75,70.55,27.160999999999998,662.0021465625097,0.1049,0.2774797568755957,0.5267389783981345,9.28,0.2024810673178296,2.04,73.34899999999999,7.712000000000001,0.2762376074757025,0.5333250023215993,0.026671047255875702,0.5200391758065747,0.0
u23,20.429000000000002,0.0421,6278.2,0.0659,0.0526,55.993,2076.0,2076.0,0.027000000000000003,0.0513,327.37,0.0307,0.07200000000000001,14.017000000000001,60,79.443,23.578000000000003,669.5279893005768,0.2083,0.27694146425992383,0.5291811666261129,34.663000000000004,0.20240410460608213,16.18,46.471000000000004,6.539,0.2745465265860369,0.536999058163709,0.026477444419378843,0.5206544311339939,0.0
u24,18.787,0.0429,6052.75,0.0103,0.0975,65.578,2121.0,2125.0,0.0281,0.0241,244.27599999999998,0.0388,0.0562,20.059,66,72.685,15.635,656.488718626066,0.0637,0.2807502886629478,0.5182456993802333,21.864,0.2145997743258989,1.3,29.404,7.256,0.2733925858785541,0.5308010993910961,0.026964397631278333,0.5046499370111533,0.0
u27,9.76,0.122,4968.25,0.0096,0.1259,66.085,4410.0,4410.0,0.0546,0.0283,353.545,0.0678,0.0697,22.079,56,62.74100000000001,24.155,673.49749229308,0.0563,0.2799505698100529,0.5222941506510491,14.639000000000001,0.21632600614099184,0.62,30.285,15.18,0.2693906114998447,0.5388220053417861,0.02628917159358771,0.5037234240489553,0.0
u30,10.812999999999999,0.1777,44151.05,0.0176,0.2236,69.042,3795.0,3795.0,0.0186,0.0528,1234.772,0.1834,0.1561,23.029,74,67.155,20.145,667.4253488034416,0.1146,0.283517956579997,0.5104170203330971,48.24,0.21953093974890486,1.66,32.454,9.816,0.2768334417758648,0.5227938595737764,0.027639496547253287,0.4969511036710981,1.0
u31,26.107,0.1268,14463.173999999999,0.0727,0.1089,56.753,3896.0,3949.0,0.0495,0.0606,330.6,0.0561,0.0602,22.479,56,61.498999999999995,17.14,645.5905381521167,0.0506,0.2833116483578471,0.5196872344838838,34.54,0.21132650501136704,5.87,43.821999999999996,16.023,0.2764050258151501,0.5325301956536121,0.02716088147948711,0.505361846630786,0.0
u32,8.776,0.1577,28294.55,0.0073,0.1935,76.163,3722.0,3722.0,0.0172,0.0262,1038.976,0.1778,0.1625,19.840999999999998,79,62.13399999999999,15.061,671.2070185293306,0.121,0.2806407389164711,0.5193749913074526,51.75899999999999,0.21610545728505204,1.74,51.431000000000004,18.024,0.27165370120381394,0.5337895154110975,0.026346439831351275,0.5032538037984771,1.0
u33,14.987,0.1641,9193.429,0.0332,0.1746,65.365,2754.0,2754.0,0.0202,0.0445,164.412,0.1419,0.0497,29.177,77,55.868,19.648,674.9517021112896,0.063,0.2818947723592285,0.5180798798639789,14.482000000000001,0.2213162997355299,1.08,39.946999999999996,14.955,0.2705564088909506,0.5365577423787814,0.025454107235685586,0.4967889279052416,0.0
u34,19.714000000000002,0.0246,13402.75,0.0019,0.017,68.655,1876.0,1876.0,0.0118,0.0,169.0,0.0131,0.0382,27.015,72,52.54,11.632,659.9673348272871,0.0349,0.2852695989901592,0.5199723537750834,15.267999999999999,0.206185564879493,12.2,48.203,20.445,0.2805814634892736,0.5302013244862545,0.02754816435298626,0.5085448361303478,0.0
u35,24.666,0.0112,12160.7,0.0072,0.046,64.086,4155.0,4155.0,0.0169,0.0055,362.42400000000004,0.0384,0.0963,14.758,63,72.592,11.248,655.3448323204648,0.0781,0.2855737620429802,0.5196392417327311,35.701,0.207305244783564,3.43,46.611000000000004,12.651,0.2805965932268137,0.5306765293725693,0.026873401393302715,0.5071209931734558,0.0
u36,21.283,0.2693,45790.05,0.0122,0.2828,59.523,4710.0,5108.0,0.0275,0.0191,2378.222,0.1036,0.1396,20.87,86,62.608999999999995,19.194000000000003,663.6839861654049,0.1156,0.2799701604608893,0.5249364365135334,242.767,0.2027535828408835,4.06,63.32,16.521,0.27823169924424745,0.5322002636873561,0.02710460349137707,0.5172762566982272,1.0
u39,13.742,0.0059,3650.4,0.0058,0.0,81.13600000000001,1200.0,1200.0,0.0,0.006,147.583,0.0,0.0097,16.430999999999997,40,58.95,5.121,628.7673976947062,0.0082,0.2490237588577395,0.5428148518341518,37.681,0.2191472055888154,3.1,60.437,24.619,0.2367748541205613,0.5548307582239419,0.026453861583855643,0.5318290355534451,0.0
u42,33.695,0.0918,31540.6,0.0222,0.0686,48.934,2782.0,2782.0,0.0295,0.0223,165.97299999999998,0.0091,0.0582,29.474,69,43.332,17.371,657.7339475794282,0.0556,0.2677635398854723,0.5422933998401093,16.332,0.19175156366025375,6.23,103.09100000000001,27.194000000000003,0.2698936668767484,0.5454677520279819,0.026175934523971347,0.5404848964542741,1.0
u43,17.639,0.1391,9712.095,0.0132,0.16399999999999998,62.497,4159.0,4152.0,0.0396,0.0211,160.04399999999998,0.0832,0.1107,26.826,69,61.525,19.863,656.5869313978791,0.0501,0.2645383910098386,0.5395858252771445,11.692,0.19498835023224076,4.18,20.589000000000002,11.65,0.2691554918328983,0.5407523076596006,0.027011097292398683,0.5404732587579206,1.0
u44,12.86,0.0741,11217.524,0.0104,0.1523,77.381,3824.0,3824.0,0.0354,0.0524,346.281,0.0206,0.1465,18.654,54,60.166000000000004,9.759,661.5808906897737,0.0857,0.27596115422870265,0.5356454115550922,34.413000000000004,0.1982360731238518,4.62,65.508,21.18,0.27253762561647205,0.5444385820454138,0.010731545412276841,0.5258027726474457,1.0
