,Low strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,High strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Phonecharge duration during morning,Phonelock duration during evening,Bluetooth class,Phonecharge duration during afternoon,Phonelock duration during night,Medium strength of bluetooth level,The frequency of changing building,High strength of bluetooth level,Medium strength of wifi level,Average duration of each conversation during night,Phonelock duration during morning,Daily average 1 ratio during night,Audio daily average 0 ratio,Total counts of bluetooth mac address,Daily average 2 ratio during night,Average bearing,Total counts of wifi-bssid address,Low strength of bluetooth level,Audio daily average 1 ratio,Daily average 0 ratio during day,Daily average unknown activity ratio during night,Daily average 0 ratio during night,Gps times of gps provider,Average duration of each long-time conversation(>10 mins),Average accuracy,Phonecharge duration during night,Average duration of each conversation,Average duration of each conversation during day,Daily average running ratio during day,Daily average 0 count during night,Audio 0 times count,Daily average 1 times during day,Audio 1 times count,Audio daily average 1 times,Daily average 2 times during day,Daily average 1 times during night,Light duration during night,Daily average unknown activity ratio during day,Audio daily average 2 times,Phonecharge duration during evening,Audio 2 times count,Daily average stationary ratio,Audio daily average 0 count,Light duration during morning,Daily average walking ratio during day,Daily average walking ratio,Daily average unknown activity ratio,Daily average 0 count during day,Daily average stationary ratio during night,Daily average running ratio,Daily average 1 ratio during day,Daily average 2 times during night,Positive
u00,12.798,0.1048,20277.727,0.0236,0.1119,69.152,3595.0,4060.0,0.0713,0.0334,135.593,0.0964,0.0956,24.379,82,66.812,18.05,709.1906740924429,0.1283,0.2828888561122385,0.5117101683475364,7.396,0.24086735807043946,6.49,14.351,8.809,0.2595775229257955,0.5430861388473158,0.027300626576076032,0.476243785817322,256.0,1660.8295348111144,341.25,0.0175,629.6627247763307,570.3818960400579,0.00922607631956992,79401.16417910447,13114577.0,52034.44776119403,6722427.0,100334.73134328358,46559.07462686567,48300.28358208955,0.0777,0.02473605845453751,86462.80597014926,0.006999999999999999,5793008.0,0.9231608274018758,195739.9552238806,0.099,0.03747508343517916,0.040073979746382236,0.02580528606028393,116338.79104477615,0.9154300963192838,0.010959906791458177,0.2386905524299493,39903.73134328358,1.0
u01,18.073,0.139,7841.048000000002,0.0108,0.1898,67.475,5110.0,5110.0,0.0115,0.0246,218.133,0.1462,0.1958,20.782,71,63.768,14.452,688.4800732685393,0.1227,0.28956727200441823,0.4935177641458229,15.47,0.2421723073662836,4.12,36.454,15.449000000000002,0.27490761430441146,0.5160559079402038,0.026773478125838062,0.4682604206292981,431.0,1633.090322580645,46.5,0.0099,616.2079933551571,563.5990351602952,0.009361102614811273,95638.41791044775,15770538.0,72541.70149253731,8930117.0,133285.32835820894,60393.253731343284,60743.62686567164,0.1409,0.024488250913792312,109691.07462686568,0.0045,7349302.0,0.9231753980260712,235381.1641791045,0.139,0.03745953329477577,0.04016378193902058,0.025442573987297445,139742.74626865672,0.915292874521746,0.011218246047610382,0.2610808805848191,49297.82089552238,0.0
u02,19.274,0.2388,15048.091,0.0088,0.1745,63.597,6273.0,6344.0,0.049,0.0165,447.23800000000006,0.1881,0.0493,17.567999999999998,84,70.938,17.128,675.213276368908,0.0384,0.2860333870219328,0.5140323284228828,19.773,0.22604245622862235,2.39,49.63399999999999,11.494000000000002,0.27000733675963223,0.5368546997111154,0.02640107772005979,0.4879241567494448,263.0,1623.2769102063587,74.16,0.0233,588.2452525845002,535.6948877889239,0.008518186551057804,118265.46268656715,19431032.0,83540.25373134327,10363020.0,154671.94029850746,66552.70149253731,71131.68656716419,0.0397,0.023883306580589136,121196.17910447762,0.0084,8120144.0,0.925193280252721,290015.4029850746,0.0807,0.036225903318635684,0.039585836640634434,0.02494314972931013,171749.94029850746,0.9164295246366679,0.010277733377334605,0.25540455880338003,54643.477611940296,0.0
u03,26.032,0.0643,6821.45,0.0072,0.1022,53.479,3351.0,3351.0,0.0289,0.0259,116.917,0.0853,0.0876,15.289,49,78.689,20.489,672.4700673549742,0.046,0.2870612352623221,0.5128288197213368,17.759,0.2287840399990861,2.42,60.207,6.023,0.26834504384860297,0.5383660628131212,0.026593381248071955,0.4841547247385918,151.0,1630.023102310231,23.98,0.0413,590.2821420283129,533.0276920998324,0.009118810787887802,110298.19402985074,18144066.0,76623.58208955223,9647532.0,143993.01492537314,62638.07462686567,67369.4328358209,0.0645,0.02398882213902517,114600.05970149256,0.0079,7678204.0,0.9245279823262976,270806.9552238806,0.0166,0.03651579524164,0.03945604395479135,0.025080734836116395,160508.76119402985,0.9161988549643856,0.01093523888279474,0.25107972542956164,51961.985074626864,0.0
u04,12.302,0.2127,20384.95,0.0704,0.2306,68.953,3544.0,3544.0,0.0164,0.1047,160.304,0.2227,0.1454,20.532,89,67.738,18.744,648.429493904868,0.1228,0.26880439612088564,0.5246271209237716,7.33,0.2373340007146265,2.36,39.365,11.73,0.2473470103518641,0.5517361929129967,0.027199900163482376,0.4938616031644879,76.0,1439.0120192307693,33.44,0.0039,532.3734240544327,508.3132989599135,0.009244275164996986,73474.50746268657,12097797.0,45269.56716417911,5784326.0,86333.22388059701,42441.02985074627,41063.65671641791,0.1472,0.025288830985364413,77587.02985074627,0.0021,5198331.0,0.9245922640874557,180564.1343283582,0.1177,0.036305526831068136,0.038475792828853835,0.026088550657165768,107089.62686567164,0.9180000735155716,0.010843392426524724,0.22827208748362185,35146.0,1.0
u05,13.309,0.1674,10706.8,0.0349,0.1502,68.707,5294.0,5294.0,0.0285,0.0367,1320.356,0.1285,0.146,28.686,71,53.01600000000001,17.984,652.8509091224888,0.0824,0.253068615411778,0.5354932499255532,65.36399999999999,0.22318200587139544,1.66,37.747,18.298,0.2398786028193643,0.5482035429338894,0.026682861732717555,0.5237493787168265,94.0,1523.3808172531217,37.56,0.0241,545.5475113122171,511.73216487271935,0.008828393074424724,58261.537313432826,9447474.0,35278.53731343283,4336304.0,64720.9552238806,33894.31343283582,29442.417910447763,0.1102,0.025702276966828624,59073.432835820895,0.0083,3957920.0,0.9257766190966614,141007.07462686568,0.0706,0.03606064693730175,0.03788103813227582,0.02611148665086389,82745.53731343284,0.9204859390076164,0.010230856120198566,0.2271846413993609,25179.119402985078,1.0
u07,16.038,0.1607,30193.5,0.0285,0.1688,65.06,2993.0,2993.0,0.0262,0.0264,199.152,0.0988,0.1339,13.907,93,82.698,18.903,675.8346505720258,0.0799,0.2529288764336322,0.5241578222612915,20.916,0.2350537200567303,3.17,69.763,3.395,0.2362087445006065,0.5377095723276225,0.02677593884569755,0.5120174035096375,112.0,1550.3304843304845,41.48,0.0137,552.60828892836,494.8685000217679,0.00901107772344706,44352.746268656716,7152115.0,26374.835820895518,3305600.0,49337.31343283582,28369.82089552239,22962.4776119403,0.0966,0.02560241915348804,49293.582089552234,0.0157,3302670.0,0.9254339732700432,106747.98507462683,0.0726,0.036427260204362884,0.03801575911410588,0.02609810273308661,62395.23880597015,0.9202975623782388,0.010452164882764018,0.22072023281806127,20923.761194029852,0.0
u08,10.003,0.2288,13321.522,0.0424,0.2017,66.278,6055.0,6078.0,0.0372,0.0666,420.93,0.1382,0.0891,23.685,69,56.20399999999999,23.719,660.7750184798443,0.0498,0.2831212677735072,0.5213096059497279,18.432,0.20358715221457105,0.84,56.374,20.11,0.2805151325919222,0.5289409608140951,0.026932890082297583,0.5132915800119219,66.0,1679.2461087527795,63.27,0.0164,612.8206765478013,571.0001144241403,0.008820514074934086,216966.49253731343,35550533.0,169945.8208955224,19693548.0,293933.55223880603,116018.86567164179,123987.73134328358,0.0596,0.026216080393870373,202279.4328358209,0.0339,13552722.0,0.923249580871289,530604.9701492537,0.0493,0.03926368904769506,0.04009071750639431,0.026542290018349884,313638.4776119403,0.9197554021723381,0.010117411603966722,0.27709640381334943,86260.5671641791,1.0
u09,10.82,0.1026,23139.3,0.0256,0.2271,73.354,4755.0,4754.0,0.0461,0.0534,329.571,0.1534,0.171,19.679,87,65.402,15.825,656.5615959142364,0.1086,0.288919846847492,0.5145805249884413,17.089000000000002,0.2098306387937582,6.65,59.46100000000001,14.918,0.28319164566503346,0.5262298853383592,0.02737064763365071,0.5012495143587498,307.0,1670.9790398289724,34.4,0.0199,613.4043506320943,574.4058944661838,0.008930414157637479,191212.59701492536,31357208.0,150893.0447761194,17757011.0,265030.01492537314,104281.5671641791,114136.97014925373,0.1473,0.026919573912039592,184468.9552238806,0.0025,12359420.0,0.9210432113790434,468018.02985074633,0.0907,0.04030794150929075,0.04147867593064211,0.027120637555916705,276805.4328358209,0.9169877686187704,0.010357475134397848,0.2774983763623388,80187.38805970151,1.0
u10,9.73,0.1836,10748.571000000002,0.0304,0.1891,62.62,4430.0,4430.0,0.0369,0.0482,459.429,0.0007,0.1696,24.241,66,69.938,27.651,697.7801577801746,0.1102,0.2594577866999524,0.5448072602226532,14.93,0.21622717320784146,0.97,53.653,5.8210000000000015,0.2398827206125441,0.5641943947693163,0.026938813876856524,0.5243150400922063,27.0,1644.2229437229435,33.84,0.0743,510.74513274336283,408.6358542932026,0.009079058618021869,68660.64179104478,11188410.0,39772.73134328358,5038591.0,75202.85074626865,37104.432835820895,35430.11940298508,0.1036,0.024631480968821392,65622.71641791044,0.0287,4396722.0,0.925470422920968,166991.19402985074,0.0983,0.035607116526313584,0.03816962013698028,0.025598807525522824,98330.55223880598,0.9179898885866881,0.010761149416529095,0.22208863655914765,28518.28358208956,1.0
