,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average audio_2 ratio,Bluetooth class,Daily average audio_2 ratio during night,Daily average activity_0 ratio during night,Daily average activity_3 ratio during night,Daily average audio_2 ratio during day,Phonelock duration during night,Total counts of bluetooth mac address,Medium strength of wifi level,Average accuracy,Phonecharge duration during evening,Daily average audio_0 ratio during day,FlourishingScale
u00,20277.727,0.1283,82.0,629.6627247763307,570.3818960400579,0.2287123087266681,135.593,0.24086735807043946,0.9154300963192838,0.027300626576076032,0.21822330872273493,0.0956,7.396,18.05,341.25,0.006999999999999999,0.5430861388473158,1.0
u01,7841.048000000002,0.1227,71.0,616.2079933551571,563.5990351602952,0.23157462154976546,218.133,0.2421723073662836,0.915292874521746,0.026773478125838062,0.22286321147497687,0.1958,15.47,14.452,46.5,0.0045,0.5160559079402038,1.0
u02,15048.091,0.0384,84.0,588.2452525845002,535.6948877889239,0.215960334817485,447.23800000000006,0.22604245622862235,0.9164295246366679,0.02640107772005979,0.20774074148550456,0.0493,19.773,17.128,74.16,0.0084,0.5368546997111154,0.0
u03,6821.45,0.046,49.0,590.2821420283129,533.0276920998324,0.2188261364300604,116.917,0.2287840399990861,0.9161988549643856,0.026593381248071955,0.21055421175731734,0.0876,17.759,20.489,23.98,0.0079,0.5383660628131212,0.0
u04,20384.95,0.1228,89.0,532.3734240544327,508.3132989599135,0.2280258687243641,160.304,0.2373340007146265,0.9180000735155716,0.027199900163482376,0.21999171960338168,0.1454,7.33,18.744,33.44,0.0021,0.5517361929129967,0.0
u05,10706.8,0.0824,71.0,545.5475113122171,511.73216487271935,0.22462814725508248,1320.356,0.22318200587139544,0.9204859390076164,0.026682861732717555,0.2246118156667498,0.146,65.36399999999999,17.984,37.56,0.0083,0.5482035429338894,1.0
u07,30193.5,0.0799,93.0,552.60828892836,494.8685000217679,0.23963343323810185,199.152,0.2350537200567303,0.9202975623782388,0.02677593884569755,0.24157019485431624,0.1339,20.916,18.903,41.48,0.0157,0.5377095723276225,1.0
u08,13321.522,0.0498,69.0,612.8206765478013,571.0001144241403,0.19817526145835013,420.93,0.20358715221457105,0.9197554021723381,0.026932890082297583,0.19396263537255548,0.0891,18.432,23.719,63.27,0.0339,0.5289409608140951,0.0
u09,23139.3,0.1086,87.0,613.4043506320943,574.4058944661838,0.20222782934652508,329.571,0.2098306387937582,0.9169877686187704,0.02737064763365071,0.1962717382993019,0.171,17.089000000000002,15.825,34.4,0.0025,0.5262298853383592,1.0
u10,10748.571000000002,0.1102,66.0,510.74513274336283,408.6358542932026,0.21531001916480247,459.429,0.21622717320784146,0.9179898885866881,0.026938813876856524,0.21371696867153608,0.1696,14.93,27.651,33.84,0.0287,0.5641943947693163,0.0
u12,25302.2,0.1609,78.0,556.3448502796973,505.00191536987916,0.2433218718597996,152.295,0.2384135321492912,0.91989582758811,0.026816347028188067,0.24514628083296625,0.1252,11.358,18.057,181.58,0.0202,0.5341040681863697,1.0
u13,41297.455,0.0653,79.0,527.8815637065637,483.2374919160785,0.2287520282344976,3587.042,0.22582288276471466,0.9201629409523512,0.02691337610858767,0.2296505161082077,0.0868,319.44,24.374,95.9,0.0167,0.5455567657615639,0.0
u14,14767.619,0.1145,83.0,648.2303226070245,586.1489291544318,0.23357472928002376,944.209,0.24385369971078955,0.9182027598218264,0.02654112838022234,0.2245253817340341,0.1095,49.756,17.754,39.84,0.002,0.5265907976902617,1.0
u15,9134.1,0.0292,77.0,598.5955818022748,536.8222360457708,0.23189157293065826,150.361,0.2432086669424353,0.9149922644552622,0.02704474392794678,0.22224299387163649,0.0684,9.666,16.641,35.85,0.0038,0.5277264197664974,1.0
u16,8722.955,0.1127,86.0,589.2235386017446,541.2990721806945,0.2113643405125752,376.812,0.2222606174953029,0.9164892364384848,0.026635788674178883,0.2026017363736647,0.1576,23.972,16.483,32.26,0.013,0.5406665620115033,0.0
u17,15728.25,0.1015,74.0,592.2906671440505,538.1332442871652,0.2251005540044664,246.439,0.2348624962171103,0.9161487999943893,0.0269736511376127,0.2169910851108044,0.1826,15.425999999999998,32.01,36.79,0.018000000000000002,0.5252865101297769,0.0
u18,12406.048,0.0756,69.0,602.2296169890028,558.0988193895797,0.20956584285962834,752.5,0.21703108230447232,0.9179687335241379,0.02644464339767997,0.2036149507517723,0.1124,49.525,20.07,48.61,0.0054,0.5270868833104204,0.0
u19,18625.0,0.0608,64.0,599.7019293225427,556.5789723958078,0.2058416112118199,478.366,0.21277329954311325,0.9189703220229406,0.02601977498976455,0.20028018171303888,0.1085,26.291,20.29,31.29,0.0179,0.5315183938041099,0.0
u20,11013.55,0.0671,63.0,610.5626667728702,568.72147370737,0.19829164823807452,231.829,0.2051162551603907,0.9203538087132608,0.02618564180706808,0.1929875294645856,0.0766,20.134,25.238000000000003,26.51,0.0091,0.5325765449273587,0.0
u22,20380.1,0.1049,75.0,613.6974325549762,571.6967736793893,0.1970234141261632,159.933,0.2024810673178296,0.920273706903172,0.026671047255875702,0.1928155488881157,0.1226,9.28,27.161,32.44,0.0014,0.5333250023215993,1.0
u23,6278.2,0.2083,60.0,619.6928189717703,575.9723048790737,0.19627230678785013,327.37,0.20240410460608213,0.9206464100476726,0.026477444419378843,0.1915784053881809,0.07200000000000001,34.663000000000004,23.578000000000007,26.41,0.0975,0.536999058163709,0.0
u24,6052.75,0.0637,66.0,604.5837425078731,560.4006640375935,0.2083617147412124,244.276,0.2145997743258989,0.9163200583602574,0.026964397631278333,0.20324313490280813,0.0562,21.864,15.635,45.33,0.0248,0.5308010993910961,0.0
