,Frequency of wifi,Phonelock duration during morning,FlourishingScale
u00,20277.727,0.1283,1.0
u01,7841.048000000002,0.1227,1.0
u02,15048.091,0.0384,0.0
u03,6821.45,0.046,0.0
u04,20384.95,0.1228,0.0
u05,10706.8,0.0824,1.0
u07,30193.5,0.0799,1.0
u08,13321.522,0.0498,0.0
u09,23139.3,0.1086,1.0
u10,10748.571000000002,0.1102,0.0
u12,25302.2,0.1609,1.0
u13,41297.455,0.0653,0.0
u14,14767.619,0.1145,1.0
u15,9134.1,0.0292,1.0
u16,8722.955,0.1127,0.0
u17,15728.25,0.1015,0.0
u18,12406.048,0.0756,0.0
u19,18625.0,0.0608,0.0
u20,11013.55,0.0671,0.0
u22,20380.1,0.1049,1.0
u23,6278.2,0.2083,0.0
u24,6052.75,0.0637,0.0
u27,4968.25,0.0563,0.0
u30,44151.05,0.1146,1.0
u31,14463.174,0.0506,0.0
u32,28294.55,0.121,1.0
u33,9193.429,0.063,0.0
u34,13402.75,0.0349,0.0
u35,12160.7,0.0781,1.0
u36,45790.05,0.1156,1.0
u39,3650.4,0.0082,0.0
u42,31540.6,0.0556,0.0
u43,9712.095,0.0501,0.0
u44,11217.524,0.0857,0.0
u45,24780.05,0.0767,1.0
u46,17613.476000000002,0.0316,0.0
u47,7145.632,0.0447,1.0
u49,22965.107000000004,0.0923,1.0
u50,18210.25,0.078,1.0
u51,18445.087,0.1535,0.0
u52,151418.545,0.1443,0.0
u53,35303.8,0.118,1.0
u56,13101.2,0.0724,1.0
u57,28505.286,0.0513,1.0
u58,19030.5,0.1438,1.0
u59,27778.15,0.0321,1.0
