,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average audio_2 ratio,Bluetooth class,Daily average audio_2 ratio during night,Daily average activity_0 ratio during night,FlourishingScale
u00,20277.727,0.1283,82.0,629.6627247763307,570.3818960400579,0.2287123087266681,135.593,0.24086735807043946,0.9154300963192838,1.0
u01,7841.048000000002,0.1227,71.0,616.2079933551571,563.5990351602952,0.23157462154976546,218.133,0.2421723073662836,0.915292874521746,1.0
u02,15048.091,0.0384,84.0,588.2452525845002,535.6948877889239,0.215960334817485,447.23800000000006,0.22604245622862235,0.9164295246366679,0.0
u03,6821.45,0.046,49.0,590.2821420283129,533.0276920998324,0.2188261364300604,116.917,0.2287840399990861,0.9161988549643856,0.0
u04,20384.95,0.1228,89.0,532.3734240544327,508.3132989599135,0.2280258687243641,160.304,0.2373340007146265,0.9180000735155716,0.0
u05,10706.8,0.0824,71.0,545.5475113122171,511.73216487271935,0.22462814725508248,1320.356,0.22318200587139544,0.9204859390076164,1.0
u07,30193.5,0.0799,93.0,552.60828892836,494.8685000217679,0.23963343323810185,199.152,0.2350537200567303,0.9202975623782388,1.0
u08,13321.522,0.0498,69.0,612.8206765478013,571.0001144241403,0.19817526145835013,420.93,0.20358715221457105,0.9197554021723381,0.0
u09,23139.3,0.1086,87.0,613.4043506320943,574.4058944661838,0.20222782934652508,329.571,0.2098306387937582,0.9169877686187704,1.0
u10,10748.571000000002,0.1102,66.0,510.74513274336283,408.6358542932026,0.21531001916480247,459.429,0.21622717320784146,0.9179898885866881,0.0
u12,25302.2,0.1609,78.0,556.3448502796973,505.00191536987916,0.2433218718597996,152.295,0.2384135321492912,0.91989582758811,1.0
u13,41297.455,0.0653,79.0,527.8815637065637,483.2374919160785,0.2287520282344976,3587.042,0.22582288276471466,0.9201629409523512,0.0
u14,14767.619,0.1145,83.0,648.2303226070245,586.1489291544318,0.23357472928002376,944.209,0.24385369971078955,0.9182027598218264,1.0
u15,9134.1,0.0292,77.0,598.5955818022748,536.8222360457708,0.23189157293065826,150.361,0.2432086669424353,0.9149922644552622,1.0
u16,8722.955,0.1127,86.0,589.2235386017446,541.2990721806945,0.2113643405125752,376.812,0.2222606174953029,0.9164892364384848,0.0
u17,15728.25,0.1015,74.0,592.2906671440505,538.1332442871652,0.2251005540044664,246.439,0.2348624962171103,0.9161487999943893,0.0
u18,12406.048,0.0756,69.0,602.2296169890028,558.0988193895797,0.20956584285962834,752.5,0.21703108230447232,0.9179687335241379,0.0
u19,18625.0,0.0608,64.0,599.7019293225427,556.5789723958078,0.2058416112118199,478.366,0.21277329954311325,0.9189703220229406,0.0
u20,11013.55,0.0671,63.0,610.5626667728702,568.72147370737,0.19829164823807452,231.829,0.2051162551603907,0.9203538087132608,0.0
u22,20380.1,0.1049,75.0,613.6974325549762,571.6967736793893,0.1970234141261632,159.933,0.2024810673178296,0.920273706903172,1.0
u23,6278.2,0.2083,60.0,619.6928189717703,575.9723048790737,0.19627230678785013,327.37,0.20240410460608213,0.9206464100476726,0.0
u24,6052.75,0.0637,66.0,604.5837425078731,560.4006640375935,0.2083617147412124,244.276,0.2145997743258989,0.9163200583602574,0.0
u27,4968.25,0.0563,56.0,622.6083366043662,578.8732406434376,0.208315237849106,353.545,0.21632600614099184,0.9172574887857124,0.0
u30,44151.05,0.1146,74.0,615.365446549723,570.5879329917346,0.21274953789103834,1234.772,0.21953093974890486,0.9151996884827536,1.0
u31,14463.174,0.0506,56.0,593.5345483418272,553.4049989135897,0.20390773970096607,330.6,0.21132650501136704,0.9181682499147142,0.0
u32,28294.55,0.121,79.0,622.2139915087764,580.0764511536104,0.2089713074887333,1038.976,0.21610545728505204,0.9170701536014564,1.0
u33,9193.429,0.063,77.0,628.2555368131698,587.4280186816245,0.21136371124507067,164.412,0.2213162997355299,0.9186630071407212,0.0
u34,13402.75,0.0349,72.0,612.8087916526422,570.9619157773324,0.1994461827356429,169.0,0.206185564879493,0.9193201272549244,0.0
u35,12160.7,0.0781,63.0,609.1990775725043,567.625782263515,0.1997641650404551,362.424,0.207305244783564,0.9186351663086584,1.0
u36,45790.05,0.1156,86.0,614.1535837160089,571.9373158613273,0.19683186424221952,2378.222,0.2027535828408835,0.9194300362381108,1.0
u39,3650.4,0.0082,40.0,510.2164948453608,495.9926696794239,0.22041029404528686,147.583,0.2191472055888154,0.92117512814888,0.0
u42,31540.6,0.0556,69.0,602.4385276122526,559.8379747196353,0.1878129332831424,165.97299999999996,0.19175156366025373,0.9203896506316582,0.0
u43,9712.095,0.0501,69.0,602.4623699775648,560.9000712097364,0.1912586828899571,160.04399999999995,0.1949883502322408,0.9173585110894432,0.0
u44,11217.524,0.0857,54.0,597.2562723172338,548.9556405690789,0.1918169628284357,346.281,0.1982360731238518,0.961981390990254,0.0
u45,24780.05,0.0767,72.0,614.1594350459483,566.9046763193184,0.19143587108840865,183.424,0.19801138565117146,0.9277466359087408,1.0
u46,17613.476000000002,0.0316,85.0,621.8039410015741,576.5265599890872,0.1890871718294176,718.1139999999998,0.19274559186220386,0.9325745295524436,0.0
u47,7145.632,0.0447,68.0,616.1325266984776,571.3469945599599,0.1906962398648995,331.821,0.19734836333454767,0.9372282717458452,1.0
u49,22965.107000000004,0.0923,83.0,617.7851111603047,560.0435509754664,0.2679575849693574,3839.792,0.25722000750868546,0.9098996394448484,1.0
u50,18210.25,0.078,51.0,602.0296353875676,552.6412493214992,0.19435240729507927,902.4,0.2007023112952737,0.9571916765881264,1.0
u51,18445.087,0.1535,79.0,606.3989562624254,558.5636167709183,0.19066663449628,758.449,0.19744092734209626,0.9284596709186692,0.0
u52,151418.545,0.1443,51.0,614.0166054507855,558.4586922488371,0.18690018258855426,491.721,0.19302366248858369,0.919223517024418,0.0
u53,35303.8,0.118,75.0,613.5359967606964,566.4838972411561,0.18870300604171444,302.949,0.19490826777356146,0.936744566550986,1.0
u56,13101.2,0.0724,70.0,599.9809693610589,561.2095225122284,0.18840685819405129,132.94299999999998,0.19171373378736772,0.9193588326447644,1.0
u57,28505.286,0.0513,80.0,602.4492272563903,560.104636159012,0.19134104598335874,1370.696,0.19412976759720613,0.9123123622165318,1.0
u58,19030.5,0.1438,68.0,659.1099559403262,605.5320161540885,0.3002349922856966,95.289,0.2863610701713312,0.9092925939198521,1.0
u59,27778.15,0.0321,75.0,622.8987616409094,563.8190023042196,0.3669138852799485,205.867,0.3521733227698248,0.9086250916229996,1.0
