,Medium strength of bluetooth level,Negative
u00,24.379,1.0
u01,20.782,0.0
u02,17.567999999999998,0.0
u03,15.289,1.0
u04,20.532,0.0
u05,28.686,1.0
u07,13.907,0.0
u08,23.685,1.0
u09,19.679,0.0
u10,24.241,1.0
u12,18.52,0.0
u13,18.266,1.0
u14,19.822,1.0
u15,29.614,1.0
u16,27.102,1.0
u17,21.694000000000006,1.0
u18,23.987,1.0
u19,24.902,0.0
u20,10.919,0.0
u22,21.738000000000003,0.0
u23,14.017,1.0
u24,20.059,0.0
u27,22.079,1.0
u30,23.029,1.0
u31,22.479,1.0
u32,19.841,0.0
u33,29.177,1.0
u34,27.015,0.0
u35,14.758,0.0
u36,20.87,0.0
u39,16.430999999999994,0.0
u42,29.474,1.0
u43,26.826,0.0
u44,18.654,0.0
u45,23.344,1.0
u46,34.051,1.0
u47,27.317,1.0
u49,18.194000000000006,0.0
u50,17.472,0.0
u51,24.012,0.0
u52,12.254,1.0
u53,19.272,0.0
u56,25.317,0.0
u57,10.691,0.0
u58,23.834,0.0
u59,0.6579999999999999,1.0
