,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,High strength of wifi level,Average duration of each conversation during night,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Negative
u00,24.379,0.0713,256.0,0.29,6.49,0.0175,0.1119,0.0956,0.0334,12.798,709.1906740924429,14.351,18.05,0.0236,1.0
u01,20.782,0.0115,431.0,0.05,4.12,0.0099,0.1898,0.1958,0.0246,18.073,688.4800732685393,36.454,14.452,0.0108,0.0
u02,17.567999999999998,0.049,263.0,0.03,2.39,0.0233,0.1745,0.0493,0.0165,19.274,675.213276368908,49.63399999999999,17.128,0.0088,0.0
u03,15.289,0.0289,151.0,0.03,2.42,0.0413,0.1022,0.0876,0.0259,26.032,672.4700673549742,60.207,20.489,0.0072,1.0
u04,20.532,0.0164,76.0,0.03,2.36,0.0039,0.2306,0.1454,0.1047,12.302,648.429493904868,39.365,18.744,0.0704,0.0
u05,28.686,0.0285,94.0,0.02,1.66,0.0241,0.1502,0.146,0.0367,13.309,652.8509091224888,37.747,17.984,0.0349,1.0
u07,13.907,0.0262,112.0,0.06,3.17,0.0137,0.1688,0.1339,0.0264,16.038,675.8346505720258,69.763,18.903,0.0285,0.0
u08,23.685,0.0372,66.0,0.01,0.84,0.0164,0.2017,0.0891,0.0666,10.003,660.7750184798443,56.374,23.719,0.0424,1.0
u09,19.679,0.0461,307.0,0.07,6.65,0.0199,0.2271,0.171,0.0534,10.82,656.5615959142364,59.46100000000001,15.825,0.0256,0.0
u10,24.241,0.0369,27.0,0.01,0.97,0.0743,0.1891,0.1696,0.0482,9.73,697.7801577801746,53.653,27.651,0.0304,1.0
u12,18.52,0.0993,396.0,0.14,4.17,0.0195,0.2025,0.1252,0.0603,20.52,651.3008306539683,62.053,18.057,0.0358,0.0
u13,18.266,0.0466,596.0,0.08,4.86,0.0581,0.1703,0.0868,0.0225,23.651,628.1610941755055,182.256,24.374,0.0078,1.0
u14,19.822,0.029,111.0,0.01,1.15,0.0372,0.1746,0.1095,0.0248,21.348000000000006,724.1918478800916,44.474,17.754,0.0106,1.0
u15,29.614,0.0287,88.0,0.14,6.05,0.0178,0.0444,0.0684,0.0117,18.573,681.496641336327,29.117,16.641,0.0126,1.0
u16,27.102,0.0431,95.0,0.02,1.63,0.059,0.1388,0.1576,0.0364,6.776,671.3652746336884,39.188,16.483,0.0223,1.0
u17,21.694000000000006,0.0455,54.0,0.01,0.91,0.04,0.1695,0.1826,0.0656,23.332,672.7778913209997,74.807,32.01,0.0406,1.0
u18,23.987,0.0433,287.0,0.08,4.0,0.0474,0.1174,0.1124,0.0453,11.511,655.7300616729261,47.672,20.07,0.0055,1.0
