,Medium strength of bluetooth level,Phonecharge duration during morning,Negative
u00,24.379,0.0713,1.0
u01,20.782,0.0115,0.0
u02,17.567999999999998,0.049,0.0
u03,15.289,0.0289,1.0
u04,20.532,0.0164,0.0
u05,28.686,0.0285,1.0
u07,13.907,0.0262,0.0
u08,23.685,0.0372,1.0
u09,19.679,0.0461,0.0
u10,24.241,0.0369,1.0
u12,18.52,0.0993,0.0
u13,18.266,0.0466,1.0
u14,19.822,0.029,1.0
u15,29.614,0.0287,1.0
u16,27.102,0.0431,1.0
u17,21.694000000000006,0.0455,1.0
u18,23.987,0.0433,1.0
u19,24.902,0.0649,0.0
u20,10.919,0.034,0.0
u22,21.738000000000003,0.0379,0.0
u23,14.017,0.027000000000000003,1.0
u24,20.059,0.0281,0.0
u27,22.079,0.0546,1.0
u30,23.029,0.0186,1.0
u31,22.479,0.0495,1.0
u32,19.841,0.0172,0.0
u33,29.177,0.0202,1.0
u34,27.015,0.0118,0.0
u35,14.758,0.0169,0.0
u36,20.87,0.0275,0.0
u39,16.430999999999994,0.0,0.0
u42,29.474,0.0295,1.0
u43,26.826,0.0396,0.0
u44,18.654,0.0354,0.0
u45,23.344,0.0494,1.0
u46,34.051,0.0231,1.0
u47,27.317,0.0607,1.0
u49,18.194000000000006,0.0974,0.0
u50,17.472,0.035,0.0
u51,24.012,0.004,0.0
u52,12.254,0.0299,1.0
u53,19.272,0.0246,0.0
u56,25.317,0.0044,0.0
u57,10.691,0.0459,0.0
u58,23.834,0.0156,0.0
u59,0.6579999999999999,0.0831,1.0
