,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Negative
u00,24.379,0.0713,256.0,0.29,6.49,1.0
u01,20.782,0.0115,431.0,0.05,4.12,0.0
u02,17.567999999999998,0.049,263.0,0.03,2.39,0.0
u03,15.289,0.0289,151.0,0.03,2.42,1.0
u04,20.532,0.0164,76.0,0.03,2.36,0.0
u05,28.686,0.0285,94.0,0.02,1.66,1.0
u07,13.907,0.0262,112.0,0.06,3.17,0.0
u08,23.685,0.0372,66.0,0.01,0.84,1.0
u09,19.679,0.0461,307.0,0.07,6.65,0.0
u10,24.241,0.0369,27.0,0.01,0.97,1.0
u12,18.52,0.0993,396.0,0.14,4.17,0.0
u13,18.266,0.0466,596.0,0.08,4.86,1.0
u14,19.822,0.029,111.0,0.01,1.15,1.0
u15,29.614,0.0287,88.0,0.14,6.05,1.0
u16,27.102,0.0431,95.0,0.02,1.63,1.0
u17,21.694000000000006,0.0455,54.0,0.01,0.91,1.0
u18,23.987,0.0433,287.0,0.08,4.0,1.0
u19,24.902,0.0649,147.0,0.06,4.03,0.0
u20,10.919,0.034,273.0,0.02,2.4,0.0
u22,21.738000000000003,0.0379,202.0,0.03,2.04,0.0
u23,14.017,0.027000000000000003,812.0,0.13,16.18,1.0
u24,20.059,0.0281,26.0,0.03,1.3,0.0
u27,22.079,0.0546,32.0,0.01,0.62,1.0
u30,23.029,0.0186,52.0,0.06,1.66,1.0
u31,22.479,0.0495,254.0,0.31,5.87,1.0
u32,19.841,0.0172,98.0,0.03,1.74,0.0
u33,29.177,0.0202,55.0,0.01,1.08,1.0
u34,27.015,0.0118,223.0,0.23,12.2,0.0
u35,14.758,0.0169,185.0,0.05,3.43,0.0
u36,20.87,0.0275,314.0,0.06,4.06,0.0
u39,16.430999999999994,0.0,149.0,0.04,3.1,0.0
u42,29.474,0.0295,176.0,0.15,6.23,1.0
u43,26.826,0.0396,143.0,0.18,4.18,0.0
u44,18.654,0.0354,322.0,0.07,4.62,0.0
u45,23.344,0.0494,435.0,0.39,14.65,1.0
u46,34.051,0.0231,82.0,0.02,1.86,1.0
u47,27.317,0.0607,70.0,0.04,3.1,1.0
u49,18.194000000000006,0.0974,509.0,0.07,6.1,0.0
u50,17.472,0.035,184.0,0.03,3.18,0.0
u51,24.012,0.004,148.0,0.06,2.68,0.0
u52,12.254,0.0299,542.0,0.02,7.89,1.0
u53,19.272,0.0246,272.0,0.09,3.23,0.0
u56,25.317,0.0044,100.0,0.09,1.73,0.0
u57,10.691,0.0459,989.0,0.13,11.0,0.0
u58,23.834,0.0156,275.0,0.11,3.3,0.0
u59,0.6579999999999999,0.0831,127.0,0.04,3.02,1.0
