,High strength of wifi level,Positive
u00,12.798,1.0
u01,18.073,0.0
u02,19.274,0.0
u03,26.032,0.0
u04,12.302,1.0
u05,13.309,1.0
u07,16.038,0.0
u08,10.003,1.0
u09,10.82,1.0
u10,9.73,1.0
u12,20.52,1.0
u13,23.651,0.0
u14,21.348000000000006,1.0
u15,18.573,1.0
u16,6.776,0.0
u17,23.332,0.0
u18,11.511,0.0
u19,14.632,1.0
u20,16.362000000000002,0.0
u22,22.529,0.0
u23,20.429,0.0
u24,18.787,0.0
u27,9.76,0.0
u30,10.813,1.0
u31,26.107,0.0
u32,8.776,1.0
u33,14.987,0.0
u34,19.714,0.0
u35,24.666,0.0
u36,21.283,1.0
u39,13.742,0.0
u42,33.695,1.0
u43,17.639,1.0
u44,12.86,1.0
u45,17.404,0.0
u46,18.466,1.0
u47,9.113,1.0
u49,17.891,1.0
u50,22.184,0.0
u51,23.597,0.0
u52,12.37,1.0
u53,15.285,1.0
u56,16.445999999999998,0.0
u57,12.678,1.0
u58,22.035,0.0
u59,13.905,1.0
