,High strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,Low strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Phonecharge duration during morning,Average frequency of changing building,Phonelock duration during evening,Bluetooth class,Phonecharge duration during afternoon,Phonelock duration during night,Low strength of bluetooth level,Medium strength of bluetooth level,The frequency of changing building,Positive
u00,12.798,0.1048,20277.727,0.0236,0.1119,69.152,3595.0,4060.0,0.0713,148.859756097561,0.0334,135.593,0.0964,0.0956,66.812,24.379,82.0,1.0
u01,18.073,0.139,7841.048000000002,0.0108,0.1898,67.475,5110.0,5110.0,0.0115,311.2676056338028,0.0246,218.133,0.1462,0.1958,63.768,20.782,71.0,0.0
u02,19.274,0.2388,15048.091,0.0088,0.1745,63.597,6273.0,6344.0,0.049,355.625,0.0165,447.23800000000006,0.1881,0.0493,70.938,17.567999999999998,84.0,0.0
u03,26.032,0.0643,6821.45,0.0072,0.1022,53.479,3351.0,3351.0,0.0289,315.4795918367347,0.0259,116.917,0.0853,0.0876,78.689,15.289,49.0,0.0
u04,12.302,0.2127,20384.95,0.0704,0.2306,68.953,3544.0,3544.0,0.0164,375.7191011235955,0.1047,160.304,0.2227,0.1454,67.738,20.532,89.0,1.0
u05,13.309,0.1674,10706.8,0.0349,0.1502,68.707,5294.0,5294.0,0.0285,338.9366197183099,0.0367,1320.356,0.1285,0.146,53.01600000000001,28.686,71.0,1.0
u07,16.038,0.1607,30193.5,0.0285,0.1688,65.06,2993.0,2993.0,0.0262,632.9139784946236,0.0264,199.152,0.0988,0.1339,82.698,13.907,93.0,0.0
u08,10.003,0.2288,13321.522,0.0424,0.2017,66.278,6055.0,6078.0,0.0372,617.6231884057971,0.0666,420.93,0.1382,0.0891,56.20399999999999,23.685,69.0,1.0
u09,10.82,0.1026,23139.3,0.0256,0.2271,73.354,4755.0,4754.0,0.0461,482.1551724137931,0.0534,329.571,0.1534,0.171,65.402,19.679,87.0,1.0
u10,9.73,0.1836,10748.571000000002,0.0304,0.1891,62.62,4430.0,4430.0,0.0369,575.0833333333334,0.0482,459.429,0.0007,0.1696,69.938,24.241,66.0,1.0
