,High strength of wifi level,Light duration during afternoon,Positive
u00,12.798,0.1048,1.0
u01,18.073,0.139,0.0
u02,19.274,0.2388,0.0
u03,26.032,0.0643,0.0
u04,12.302,0.2127,1.0
u05,13.309,0.1674,1.0
u07,16.038,0.1607,0.0
u08,10.003,0.2288,1.0
u09,10.82,0.1026,1.0
u10,9.73,0.1836,1.0
u12,20.52,0.173,1.0
u13,23.651,0.2095,0.0
u14,21.348000000000006,0.1857,1.0
u15,18.573,0.0451,1.0
u16,6.776,0.0846,0.0
u17,23.332,0.1583,0.0
u18,11.511,0.0937,0.0
u19,14.632,0.2656,1.0
u20,16.362000000000002,0.0682,0.0
u22,22.529,0.1546,0.0
u23,20.429,0.0421,0.0
u24,18.787,0.0429,0.0
u27,9.76,0.122,0.0
u30,10.813,0.1777,1.0
u31,26.107,0.1268,0.0
u32,8.776,0.1577,1.0
u33,14.987,0.1641,0.0
u34,19.714,0.0246,0.0
u35,24.666,0.0112,0.0
u36,21.283,0.2693,1.0
u39,13.742,0.0059,0.0
u42,33.695,0.0918,1.0
u43,17.639,0.1391,1.0
u44,12.86,0.0741,1.0
u45,17.404,0.0813,0.0
u46,18.466,0.1761,1.0
u47,9.113,0.0466,1.0
u49,17.891,0.0209,1.0
u50,22.184,0.0904,0.0
u51,23.597,0.1292,0.0
u52,12.37,0.1538,1.0
u53,15.285,0.0859,1.0
u56,16.445999999999998,0.0471,0.0
u57,12.678,0.2501,1.0
u58,22.035,0.1114,0.0
u59,13.905,0.1677,1.0
