,High strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,Low strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Phonecharge duration during morning,Average frequency of changing building,Phonelock duration during evening,Bluetooth class,Phonecharge duration during afternoon,Phonelock duration during night,Low strength of bluetooth level,Medium strength of bluetooth level,The frequency of changing building,Medium strength of wifi level,Phonelock duration during morning,Average duration of each conversation during night,Daily average audio_1 ratio during night,Daily average audio_1 ratio,Daily average audio_0 ratio,Average bearing,Daily average audio_2 ratio during night,Total counts of bluetooth mac address,Positive
u00,12.798,0.1048,20277.727,0.0236,0.1119,69.152,3595.0,4060.0,0.0713,148.859756097561,0.0334,135.593,0.0964,0.0956,66.812,24.379,82.0,18.05,0.1283,709.1906740924429,0.2828888561122385,0.2595775229257955,0.5117101683475364,6.49,0.24086735807043946,7.396,1.0
u01,18.073,0.139,7841.048000000002,0.0108,0.1898,67.475,5110.0,5110.0,0.0115,311.2676056338028,0.0246,218.133,0.1462,0.1958,63.768,20.782,71.0,14.452,0.1227,688.4800732685393,0.28956727200441823,0.27490761430441146,0.4935177641458229,4.12,0.2421723073662836,15.47,0.0
u02,19.274,0.2388,15048.091,0.0088,0.1745,63.597,6273.0,6344.0,0.049,355.625,0.0165,447.23800000000006,0.1881,0.0493,70.938,17.567999999999998,84.0,17.128,0.0384,675.213276368908,0.2860333870219328,0.27000733675963223,0.5140323284228828,2.39,0.22604245622862235,19.773,0.0
u03,26.032,0.0643,6821.45,0.0072,0.1022,53.479,3351.0,3351.0,0.0289,315.4795918367347,0.0259,116.917,0.0853,0.0876,78.689,15.289,49.0,20.489,0.046,672.4700673549742,0.2870612352623221,0.26834504384860297,0.5128288197213368,2.42,0.2287840399990861,17.759,0.0
u04,12.302,0.2127,20384.95,0.0704,0.2306,68.953,3544.0,3544.0,0.0164,375.7191011235955,0.1047,160.304,0.2227,0.1454,67.738,20.532,89.0,18.744,0.1228,648.429493904868,0.26880439612088564,0.2473470103518641,0.5246271209237716,2.36,0.2373340007146265,7.33,1.0
u05,13.309,0.1674,10706.8,0.0349,0.1502,68.707,5294.0,5294.0,0.0285,338.9366197183099,0.0367,1320.356,0.1285,0.146,53.01600000000001,28.686,71.0,17.984,0.0824,652.8509091224888,0.253068615411778,0.2398786028193643,0.5354932499255532,1.66,0.22318200587139544,65.36399999999999,1.0
u07,16.038,0.1607,30193.5,0.0285,0.1688,65.06,2993.0,2993.0,0.0262,632.9139784946236,0.0264,199.152,0.0988,0.1339,82.698,13.907,93.0,18.903,0.0799,675.8346505720258,0.2529288764336322,0.2362087445006065,0.5241578222612915,3.17,0.2350537200567303,20.916,0.0
u08,10.003,0.2288,13321.522,0.0424,0.2017,66.278,6055.0,6078.0,0.0372,617.6231884057971,0.0666,420.93,0.1382,0.0891,56.20399999999999,23.685,69.0,23.719,0.0498,660.7750184798443,0.2831212677735072,0.2805151325919222,0.5213096059497279,0.84,0.20358715221457105,18.432,1.0
u09,10.82,0.1026,23139.3,0.0256,0.2271,73.354,4755.0,4754.0,0.0461,482.1551724137931,0.0534,329.571,0.1534,0.171,65.402,19.679,87.0,15.825,0.1086,656.5615959142364,0.288919846847492,0.28319164566503346,0.5145805249884413,6.65,0.2098306387937582,17.089000000000002,1.0
u10,9.73,0.1836,10748.571000000002,0.0304,0.1891,62.62,4430.0,4430.0,0.0369,575.0833333333334,0.0482,459.429,0.0007,0.1696,69.938,24.241,66.0,27.651,0.1102,697.7801577801746,0.2594577866999524,0.2398827206125441,0.5448072602226532,0.97,0.21622717320784146,14.93,1.0
u12,20.52,0.173,25302.2,0.0358,0.2025,61.423,5812.0,6151.0,0.0993,170.7948717948718,0.0603,152.295,0.184,0.1252,73.541,18.52,78.0,18.057,0.1609,651.3008306539683,0.25632428305443306,0.23766483144643802,0.5190132966937624,4.17,0.2384135321492912,11.358,1.0
u13,23.651,0.2095,41297.455,0.0078,0.1703,51.975,5857.0,6006.0,0.0466,647.4240506329114,0.0225,3587.042,0.0278,0.0868,68.707,18.266,79.0,24.374,0.0653,628.1610941755055,0.24784287900461435,0.2362250122680423,0.5350229594974601,4.86,0.22582288276471466,319.44,0.0
u14,21.348000000000006,0.1857,14767.619,0.0106,0.1746,60.897,3694.0,3694.0,0.029,375.68674698795184,0.0248,944.209,0.1192,0.1095,45.652,19.822,83.0,17.754,0.1145,724.1918478800916,0.2874232506741476,0.2674599889526945,0.4989652817672818,1.15,0.24385369971078955,49.756,1.0
u15,18.573,0.0451,9134.1,0.0126,0.0444,64.786,1700.0,1698.0,0.0287,135.12337662337663,0.0117,150.361,0.0059,0.0684,59.67100000000001,29.614,77.0,16.641,0.0292,681.496641336327,0.2902564543226303,0.2695019763595597,0.4986064507097821,6.05,0.2432086669424353,9.666,1.0
u16,6.776,0.0846,8722.955,0.0223,0.1388,76.741,5795.0,5795.0,0.0431,287.20930232558135,0.0364,376.812,0.0703,0.1576,50.299,27.102,86.0,16.483,0.1127,671.3652746336884,0.28297722292096583,0.26928718044812683,0.5193484790392979,1.63,0.2222606174953029,23.972,0.0
u17,23.332,0.1583,15728.25,0.0406,0.1695,44.659,6346.0,6346.0,0.0455,615.0878378378377,0.0656,246.439,0.0821,0.1826,69.418,21.694000000000006,74.0,32.01,0.1015,672.7778913209997,0.29195004869847496,0.2741889593927958,0.5007104866027378,0.91,0.2348624962171103,15.425999999999998,0.0
u18,11.511,0.0937,12406.048,0.0055,0.1174,68.419,3412.0,3412.0,0.0433,377.4492753623188,0.0453,752.5,0.0603,0.1124,69.14,23.987,69.0,20.07,0.0756,655.7300616729261,0.2828464023368231,0.2761493071978252,0.5142848499425465,4.0,0.21703108230447232,49.525,0.0
u19,14.632,0.2656,18625.0,0.0196,0.2831,65.078,4451.0,4446.0,0.0649,841.5859375,0.0466,478.366,0.012,0.1085,58.456,24.902,64.0,20.29,0.0608,652.4699348970134,0.2829043772950781,0.2755298258040935,0.5186285629840867,4.03,0.21277329954311325,26.291,1.0
u20,16.362000000000002,0.0682,11013.55,0.006,0.0805,58.4,2560.0,2560.0,0.034,341.7301587301588,0.0137,231.829,0.0258,0.0766,86.24600000000002,10.919,63.0,25.238000000000003,0.0671,657.9642451539928,0.2834635773825905,0.2790878422389449,0.5226205095229804,2.4,0.2051162551603907,20.134,0.0
u22,22.529,0.1546,20380.1,0.0175,0.1992,50.309,3527.0,3516.0,0.0379,805.5333333333333,0.006999999999999999,159.933,0.0481,0.1226,70.55,21.738000000000003,75.0,27.161,0.1049,662.0021465625098,0.2774797568755957,0.2762376074757025,0.5267389783981345,2.04,0.2024810673178296,9.28,0.0
u23,20.429,0.0421,6278.2,0.0659,0.0526,55.993,2076.0,2076.0,0.027000000000000003,233.19166666666663,0.0513,327.37,0.0307,0.07200000000000001,79.443,14.017,60.0,23.578000000000007,0.2083,669.5279893005768,0.27694146425992383,0.2745465265860369,0.5291811666261129,16.18,0.20240410460608213,34.663000000000004,0.0
u24,18.787,0.0429,6052.75,0.0103,0.0975,65.578,2121.0,2125.0,0.0281,216.3030303030303,0.0241,244.276,0.0388,0.0562,72.685,20.059,66.0,15.635,0.0637,656.488718626066,0.2807502886629478,0.2733925858785541,0.5182456993802333,1.3,0.2145997743258989,21.864,0.0
u27,9.76,0.122,4968.25,0.0096,0.1259,66.085,4410.0,4410.0,0.0546,430.4196428571428,0.0283,353.545,0.0678,0.0697,62.74100000000001,22.079,56.0,24.155,0.0563,673.49749229308,0.2799505698100529,0.2693906114998447,0.5222941506510491,0.62,0.21632600614099184,14.639,0.0
u30,10.813,0.1777,44151.05,0.0176,0.2236,69.042,3795.0,3795.0,0.0186,929.8648648648648,0.0528,1234.772,0.1834,0.1561,67.155,23.029,74.0,20.145,0.1146,667.4253488034416,0.283517956579997,0.2768334417758648,0.5104170203330971,1.66,0.21953093974890486,48.24,1.0
u31,26.107,0.1268,14463.174,0.0727,0.1089,56.753,3896.0,3949.0,0.0495,297.0267857142857,0.0606,330.6,0.0561,0.0602,61.499,22.479,56.0,17.14,0.0506,645.5905381521168,0.2833116483578471,0.2764050258151501,0.5196872344838838,5.87,0.21132650501136704,34.54,0.0
u32,8.776,0.1577,28294.55,0.0073,0.1935,76.163,3722.0,3722.0,0.0172,1107.9430379746836,0.0262,1038.976,0.1778,0.1625,62.13399999999999,19.841,79.0,15.061,0.121,671.2070185293306,0.2806407389164711,0.27165370120381394,0.5193749913074526,1.74,0.21610545728505204,51.75899999999999,1.0
u33,14.987,0.1641,9193.429,0.0332,0.1746,65.365,2754.0,2754.0,0.0202,370.5779220779222,0.0445,164.412,0.1419,0.0497,55.868,29.177,77.0,19.648,0.063,674.9517021112896,0.2818947723592285,0.2705564088909506,0.5180798798639789,1.08,0.2213162997355299,14.482,0.0
u34,19.714,0.0246,13402.75,0.0019,0.017,68.655,1876.0,1876.0,0.0118,116.11805555555556,0.0,169.0,0.0131,0.0382,52.54,27.015,72.0,11.632,0.0349,659.9673348272871,0.2852695989901592,0.2805814634892736,0.5199723537750834,12.2,0.206185564879493,15.268,0.0
u35,24.666,0.0112,12160.7,0.0072,0.046,64.086,4155.0,4155.0,0.0169,218.26190476190484,0.0055,362.424,0.0384,0.0963,72.592,14.758,63.0,11.248,0.0781,655.3448323204648,0.2855737620429802,0.2805965932268137,0.5196392417327311,3.43,0.207305244783564,35.701,0.0
u36,21.283,0.2693,45790.05,0.0122,0.2828,59.523,4710.0,5108.0,0.0275,546.1976744186046,0.0191,2378.222,0.1036,0.1396,62.609,20.87,86.0,19.194000000000006,0.1156,663.6839861654049,0.2799701604608893,0.27823169924424745,0.5249364365135334,4.06,0.2027535828408835,242.767,1.0
u39,13.742,0.0059,3650.4,0.0058,0.0,81.13600000000002,1200.0,1200.0,0.0,89.25,0.006,147.583,0.0,0.0097,58.95,16.430999999999994,40.0,5.121,0.0082,628.7673976947062,0.2490237588577395,0.2367748541205613,0.5428148518341518,3.1,0.2191472055888154,37.681,0.0
u42,33.695,0.0918,31540.6,0.0222,0.0686,48.934,2782.0,2782.0,0.0295,222.3260869565217,0.0223,165.97299999999996,0.0091,0.0582,43.332,29.474,69.0,17.371,0.0556,657.7339475794282,0.2677635398854723,0.2698936668767484,0.5422933998401093,6.23,0.19175156366025373,16.332,1.0
