,High strength of wifi level,Light duration during afternoon,Frequency of wifi,Positive
u00,12.798,0.1048,20277.727,1.0
u01,18.073,0.139,7841.048000000002,0.0
u02,19.274,0.2388,15048.091,0.0
u03,26.032,0.0643,6821.45,0.0
u04,12.302,0.2127,20384.95,1.0
u05,13.309,0.1674,10706.8,1.0
u07,16.038,0.1607,30193.5,0.0
u08,10.003,0.2288,13321.522,1.0
u09,10.82,0.1026,23139.3,1.0
u10,9.73,0.1836,10748.571000000002,1.0
u12,20.52,0.173,25302.2,1.0
u13,23.651,0.2095,41297.455,0.0
u14,21.348000000000006,0.1857,14767.619,1.0
u15,18.573,0.0451,9134.1,1.0
u16,6.776,0.0846,8722.955,0.0
u17,23.332,0.1583,15728.25,0.0
u18,11.511,0.0937,12406.048,0.0
u19,14.632,0.2656,18625.0,1.0
u20,16.362000000000002,0.0682,11013.55,0.0
u22,22.529,0.1546,20380.1,0.0
u23,20.429,0.0421,6278.2,0.0
u24,18.787,0.0429,6052.75,0.0
u27,9.76,0.122,4968.25,0.0
u30,10.813,0.1777,44151.05,1.0
u31,26.107,0.1268,14463.174,0.0
u32,8.776,0.1577,28294.55,1.0
u33,14.987,0.1641,9193.429,0.0
u34,19.714,0.0246,13402.75,0.0
u35,24.666,0.0112,12160.7,0.0
u36,21.283,0.2693,45790.05,1.0
u39,13.742,0.0059,3650.4,0.0
u42,33.695,0.0918,31540.6,1.0
u43,17.639,0.1391,9712.095,1.0
u44,12.86,0.0741,11217.524,1.0
u45,17.404,0.0813,24780.05,0.0
u46,18.466,0.1761,17613.476000000002,1.0
u47,9.113,0.0466,7145.632,1.0
u49,17.891,0.0209,22965.107000000004,1.0
u50,22.184,0.0904,18210.25,0.0
u51,23.597,0.1292,18445.087,0.0
u52,12.37,0.1538,151418.545,1.0
u53,15.285,0.0859,35303.8,1.0
u56,16.445999999999998,0.0471,13101.2,0.0
u57,12.678,0.2501,28505.286,1.0
u58,22.035,0.1114,19030.5,0.0
u59,13.905,0.1677,27778.15,1.0
