,High strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,Low strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Positive
u00,12.798,0.1048,20277.727,0.0236,0.1119,69.152,3595.0,4060.0,1.0
u01,18.073,0.139,7841.048000000002,0.0108,0.1898,67.475,5110.0,5110.0,0.0
u02,19.274,0.2388,15048.091,0.0088,0.1745,63.597,6273.0,6344.0,0.0
u03,26.032,0.0643,6821.45,0.0072,0.1022,53.479,3351.0,3351.0,0.0
u04,12.302,0.2127,20384.95,0.0704,0.2306,68.953,3544.0,3544.0,1.0
u05,13.309,0.1674,10706.8,0.0349,0.1502,68.707,5294.0,5294.0,1.0
u07,16.038,0.1607,30193.5,0.0285,0.1688,65.06,2993.0,2993.0,0.0
u08,10.003,0.2288,13321.522,0.0424,0.2017,66.278,6055.0,6078.0,1.0
u09,10.82,0.1026,23139.3,0.0256,0.2271,73.354,4755.0,4754.0,1.0
u10,9.73,0.1836,10748.571000000002,0.0304,0.1891,62.62,4430.0,4430.0,1.0
u12,20.52,0.173,25302.2,0.0358,0.2025,61.423,5812.0,6151.0,1.0
u13,23.651,0.2095,41297.455,0.0078,0.1703,51.975,5857.0,6006.0,0.0
u14,21.348000000000006,0.1857,14767.619,0.0106,0.1746,60.897,3694.0,3694.0,1.0
u15,18.573,0.0451,9134.1,0.0126,0.0444,64.786,1700.0,1698.0,1.0
u16,6.776,0.0846,8722.955,0.0223,0.1388,76.741,5795.0,5795.0,0.0
u17,23.332,0.1583,15728.25,0.0406,0.1695,44.659,6346.0,6346.0,0.0
u18,11.511,0.0937,12406.048,0.0055,0.1174,68.419,3412.0,3412.0,0.0
u19,14.632,0.2656,18625.0,0.0196,0.2831,65.078,4451.0,4446.0,1.0
u20,16.362000000000002,0.0682,11013.55,0.006,0.0805,58.4,2560.0,2560.0,0.0
u22,22.529,0.1546,20380.1,0.0175,0.1992,50.309,3527.0,3516.0,0.0
u23,20.429,0.0421,6278.2,0.0659,0.0526,55.993,2076.0,2076.0,0.0
u24,18.787,0.0429,6052.75,0.0103,0.0975,65.578,2121.0,2125.0,0.0
u27,9.76,0.122,4968.25,0.0096,0.1259,66.085,4410.0,4410.0,0.0
u30,10.813,0.1777,44151.05,0.0176,0.2236,69.042,3795.0,3795.0,1.0
u31,26.107,0.1268,14463.174,0.0727,0.1089,56.753,3896.0,3949.0,0.0
u32,8.776,0.1577,28294.55,0.0073,0.1935,76.163,3722.0,3722.0,1.0
u33,14.987,0.1641,9193.429,0.0332,0.1746,65.365,2754.0,2754.0,0.0
u34,19.714,0.0246,13402.75,0.0019,0.017,68.655,1876.0,1876.0,0.0
u35,24.666,0.0112,12160.7,0.0072,0.046,64.086,4155.0,4155.0,0.0
u36,21.283,0.2693,45790.05,0.0122,0.2828,59.523,4710.0,5108.0,1.0
u39,13.742,0.0059,3650.4,0.0058,0.0,81.13600000000002,1200.0,1200.0,0.0
u42,33.695,0.0918,31540.6,0.0222,0.0686,48.934,2782.0,2782.0,1.0
u43,17.639,0.1391,9712.095,0.0132,0.16399999999999998,62.497,4159.0,4152.0,1.0
u44,12.86,0.0741,11217.524,0.0104,0.1523,77.381,3824.0,3824.0,1.0
u45,17.404,0.0813,24780.05,0.0113,0.1023,68.796,1868.0,1868.0,0.0
u46,18.466,0.1761,17613.476000000002,0.037000000000000005,0.1505,56.183,3685.0,3726.0,1.0
u47,9.113,0.0466,7145.632,0.0046,0.0683,73.525,3203.0,3348.0,1.0
u49,17.891,0.0209,22965.107000000004,0.0323,0.1076,59.618,3359.0,3402.0,1.0
u50,22.184,0.0904,18210.25,0.0077,0.0488,49.43600000000001,2739.0,2743.0,0.0
u51,23.597,0.1292,18445.087,0.0103,0.2616,53.462,5882.0,6218.0,0.0
u52,12.37,0.1538,151418.545,0.0137,0.1951,71.605,4391.0,4481.0,1.0
u53,15.285,0.0859,35303.8,0.0126,0.1754,62.764,3653.0,3653.0,1.0
u56,16.445999999999998,0.0471,13101.2,0.0201,0.0997,68.007,3313.0,3511.0,0.0
u57,12.678,0.2501,28505.286,0.0148,0.2473,68.805,4749.0,4867.0,1.0
u58,22.035,0.1114,19030.5,0.0269,0.2216,55.887,5710.0,5748.0,0.0
u59,13.905,0.1677,27778.15,0.0273,0.1485,68.97,5436.0,5713.0,1.0
